	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
FN33	0.0	0.342275229648	0.334362554098	0.320102635817	0.282448682941	0.255540819785	0.26983233093	0.284810088241	0.313763044134	0.308884453274	0.314422139188	0.348252563476	0.357479866134	0.288350890367	0.351585602377	0.315331601677	0.314652376053	0.318566155595	0.30481568842	0.343481814695	0.381758783086	0.299651781845	0.340181495629	0.297329594446	0.386583144604	0.327664330749	0.324136387916	0.368161867679	0.352460333221	0.393034171896
FN47	0.342275229648	0.0	0.327880933839	0.366165893188	0.305969392692	0.308501397064	0.291393472599	0.288651490528	0.296099234991	0.310427610172	0.351308544372	0.376040209757	0.409955531879	0.282493885566	0.357713753924	0.341594092576	0.307379166264	0.380077272719	0.370098881808	0.328935372273	0.349801412817	0.31028549781	0.343749479976	0.321979856957	0.374134365049	0.347182907651	0.372314158249	0.412187757414	0.367392112462	0.427383443409
FN46	0.334362554098	0.327880933839	0.0	0.332452212135	0.284632499696	0.285323541213	0.270553199311	0.259243847582	0.319631935713	0.294893704185	0.353424999801	0.325207160873	0.385858828266	0.29527738914	0.259061041716	0.292469475293	0.263383386304	0.327345612163	0.339536594108	0.299099043267	0.310159951239	0.311752689491	0.301384564153	0.290741566044	0.370267591478	0.316832896529	0.32087465254	0.292476125982	0.299775157467	0.424722680576
FN55	0.320102635817	0.366165893188	0.332452212135	0.0	0.285943926308	0.2914827981	0.324701376094	0.312853536974	0.34071453608	0.313937077647	0.357552749522	0.22614084102	0.437445918099	0.317524663271	0.37763896175	0.292259116352	0.296102678515	0.230027407266	0.285415177671	0.305172603654	0.214521128659	0.374646265233	0.293018142269	0.382605465971	0.450032863019	0.229651056936	0.354088396206	0.265160665475	0.229130771845	0.438381203743
FN57	0.282448682941	0.305969392692	0.284632499696	0.285943926308	0.0	0.21163223085	0.256790580721	0.224211615068	0.312360885771	0.256518814267	0.298461278898	0.306248466243	0.332866836287	0.234094943705	0.291789954854	0.270357006308	0.214632838333	0.307125696838	0.268994184485	0.278572611389	0.295529923877	0.239444308711	0.263281027487	0.26998686213	0.347883054586	0.253440267598	0.324352806183	0.319285104074	0.278475212858	0.368339519079
FN32	0.255540819785	0.308501397064	0.285323541213	0.2914827981	0.21163223085	0.0	0.212731419971	0.267234855723	0.294610798732	0.256990089507	0.308100959013	0.3079817976	0.374200376593	0.25080758262	0.30874759487	0.27653861017	0.252517853989	0.298618068746	0.275019612499	0.329079746224	0.303111168266	0.28089623333	0.296051915374	0.284557162613	0.371667413869	0.24227039017	0.307858118084	0.317718706732	0.272336832778	0.388973442291
FN31	0.26983233093	0.291393472599	0.270553199311	0.324701376094	0.256790580721	0.212731419971	0.0	0.247427768911	0.242189195124	0.269379000778	0.309735012115	0.328568594792	0.380623630248	0.279504888425	0.288928360564	0.276786994007	0.242774675319	0.294643468843	0.308940329838	0.31886930732	0.332293010868	0.27218722561	0.301249765087	0.288700430248	0.340961681913	0.308498616219	0.308383411202	0.347520719382	0.308146998369	0.405262203409
FN34	0.284810088241	0.288651490528	0.259243847582	0.312853536974	0.224211615068	0.267234855723	0.247427768911	0.0	0.267649377552	0.257165982771	0.284415521369	0.299315375809	0.392230780413	0.246344216015	0.29031276815	0.2593024494	0.240647918232	0.302426346176	0.317692691099	0.264895691008	0.297639071068	0.286858474827	0.27333408577	0.282846384471	0.374895219328	0.285226792337	0.326262835901	0.312415170195	0.310643407391	0.407848226354
FN36	0.313763044134	0.296099234991	0.319631935713	0.34071453608	0.312360885771	0.294610798732	0.242189195124	0.267649377552	0.0	0.313660261397	0.336829026273	0.347490128922	0.411896556387	0.293752398534	0.316273643123	0.304715158706	0.284061919046	0.319724576324	0.324617590093	0.302277353875	0.315739949444	0.315161587238	0.329275618113	0.337400607366	0.394630220563	0.341142571297	0.325083765315	0.374163431287	0.336606962431	0.42158344561
FN37	0.308884453274	0.310427610172	0.294893704185	0.313937077647	0.256518814267	0.256990089507	0.269379000778	0.257165982771	0.313660261397	0.0	0.339942258841	0.296590162826	0.399922965056	0.279490918553	0.321834296196	0.275917488232	0.269395022676	0.299724798514	0.290826912176	0.278736541601	0.303107329231	0.291186658521	0.286290979571	0.328326328446	0.386222169509	0.264644161877	0.339596724623	0.315510302291	0.307954430459	0.420404534544
