	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
FN33	0.0	0.193068675037	0.724904897549	0.296091987658	0.59290833593	0.211377117605	0.188527362482	0.281949589519	0.311143073078	0.241990788974	0.544816332308	0.331996282283	0.407819611179	0.198507119035	0.31023661022	0.373290846943	0.712290208058	0.344525978963	0.356696272932	0.405826267899	0.447737209273	0.603838683275	0.51704105534	0.245284125402	0.415195011646	0.691232041217	0.528134365255	0.418386013177	0.56278129762	0.153599491079
FN47	0.193068675037	0.0	0.718477542211	0.254767288251	0.601058515001	0.209237745884	0.280379334472	0.283021534023	0.398814736342	0.237904569426	0.560466933491	0.345175312976	0.432561847366	0.156603293189	0.334780983391	0.372885866295	0.743289751875	0.463959509852	0.398137280516	0.417499323577	0.548003331579	0.597668600481	0.531681559533	0.259834925958	0.464025556668	0.697858801515	0.599399076666	0.438839757514	0.582506427142	0.21251986741
FN46	0.724904897549	0.718477542211	0.0	0.592549178675	0.321181513391	0.607519345955	0.672447321326	0.621138959441	0.661568130834	0.557635525838	0.375159068426	0.57223379825	0.542253925128	0.738745594457	0.48754664363	0.594901969885	0.236365249412	0.710085620369	0.453557167858	0.502735182288	0.527265713991	0.181655877521	0.415509119102	0.683990414945	0.428873677331	0.365779373954	0.533415310863	0.436923047148	0.597066132076	0.782541278294
FN55	0.296091987658	0.254767288251	0.592549178675	0.0	0.459754267827	0.192082629393	0.263035144101	0.265325482542	0.346514981004	0.20305522874	0.41678732914	0.250191131185	0.325997428921	0.317868741221	0.230590243979	0.294310093656	0.58803551205	0.462967538946	0.258034517473	0.256552971931	0.344157665781	0.456177804101	0.383019617431	0.328510525561	0.342490139197	0.528327133913	0.444916291329	0.313537954942	0.377231310943	0.331716028888
FN57	0.59290833593	0.601058515001	0.321181513391	0.459754267827	0.0	0.45455367129	0.459158248615	0.382120867762	0.469429047243	0.421845969459	0.163973445801	0.330546039302	0.332048855561	0.593972160683	0.359070162927	0.41325704663	0.223575705912	0.520398350695	0.283197016714	0.323397740356	0.389699306864	0.273484692052	0.16898596818	0.503838730721	0.263461055641	0.191842644928	0.364547122975	0.27617386407	0.457033392042	0.606270580214
FN32	0.211377117605	0.209237745884	0.607519345955	0.192082629393	0.45455367129	0.0	0.211225699704	0.189584016252	0.324879171512	0.139131870809	0.414174687396	0.192976766623	0.272723177269	0.220004250417	0.215644328335	0.212871121123	0.596598805586	0.42705454762	0.25923913756	0.293433970454	0.410901720703	0.469653926909	0.37275802637	0.217344583887	0.317545203353	0.559250497457	0.456181405701	0.274746001176	0.464398338938	0.253014732158
FN31	0.188527362482	0.280379334472	0.672447321326	0.263035144101	0.459158248615	0.211225699704	0.0	0.185974053182	0.23729781047	0.28718422138	0.435659383851	0.191857231705	0.288124082564	0.300774245446	0.275885509876	0.285316884286	0.592365101441	0.279264984545	0.299153505435	0.322643417668	0.390209627758	0.578066006284	0.384892618867	0.218673985662	0.352917718364	0.579043624691	0.428522172456	0.321067243421	0.490616005209	0.211013498587
FN34	0.281949589519	0.283021534023	0.621138959441	0.265325482542	0.382120867762	0.189584016252	0.185974053182	0.0	0.335913949313	0.209028501903	0.378054975538	0.133648178051	0.225208964817	0.278547197396	0.240900828703	0.210276141648	0.502894050792	0.385460633529	0.253272812837	0.243104329051	0.463554499912	0.526042974888	0.309987779336	0.217275153068	0.298991719441	0.520611785495	0.436906246801	0.286372222854	0.528662347999	0.294087538407
FN36	0.311143073078	0.398814736342	0.661568130834	0.346514981004	0.469429047243	0.324879171512	0.23729781047	0.335913949313	0.0	0.413648899699	0.442098519003	0.321588538421	0.394866472749	0.420407432791	0.415287441209	0.368048821024	0.608513306699	0.217669396398	0.428554885589	0.414425342639	0.323306230631	0.585286896246	0.402979644495	0.384679256664	0.48946657387	0.583923486839	0.414106700816	0.417844317305	0.464896261226	0.353916761735
FN37	0.241990788974	0.237904569426	0.557635525838	0.20305522874	0.421845969459	0.139131870809	0.28718422138	0.209028501903	0.413648899699	0.0	0.375128733114	0.193926180845	0.267134812535	0.243723045859	0.138190132737	0.244530340658	0.546194883444	0.505284846168	0.232630876081	0.227200897759	0.410215581089	0.42723789342	0.347604978958	0.224167622645	0.277710311568	0.500157285326	0.423423262206	0.265985351329	0.475288552674	0.28350554645
FN39	0.544816332308	0.560466933491	0.375159068426	0.41678732914	0.163973445801	0.414174687396	0.435659383851	0.378054975538	0.442098519003	0.375128733114	0.0	0.296973772569	0.318607639221	0.548404697942	0.326009475758	0.381369712497	0.275325894869	0.504651925	0.241499851276	0.293322483607	0.347844292088	0.3132944888	0.137513906473	0.4648439136	0.252992439652	0.222579431408	0.308224064903	0.25125591783	0.400243006333	0.537602747225
