	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
FN33	0.0	0.193010846399	0.725670028792	0.295311303588	0.592998988219	0.211706122425	0.187757419456	0.282468711532	0.310774166688	0.242167114537	0.5446379217	0.331583443384	0.407680615582	0.198517598078	0.310097548829	0.373863362904	0.711325290307	0.343998334468	0.357308543305	0.406152536759	0.447501810889	0.604159582734	0.517032846481	0.24523876195	0.415509778991	0.691633117449	0.527534238172	0.418056706852	0.563507151613	0.153512914636
FN47	0.193010846399	0.0	0.719355177402	0.254976297743	0.601501093633	0.209070703482	0.280439898936	0.283930170007	0.398928282552	0.238141611175	0.560485136463	0.345282647453	0.432833661903	0.156809889458	0.334928454083	0.373600627932	0.742563689221	0.463850232419	0.398846803875	0.418260247107	0.548121265419	0.597802311404	0.532123478961	0.260113362472	0.46454168548	0.698302419965	0.599159638463	0.439165507225	0.582890275238	0.21239725438
FN46	0.725670028792	0.719355177402	0.0	0.593613625767	0.321523654355	0.607962034261	0.673444766666	0.620488658142	0.662355671819	0.558502358849	0.376414261983	0.57322651339	0.542843111579	0.739647194661	0.488703448518	0.595271729799	0.237586332735	0.710889496028	0.453819811138	0.503267002394	0.527847948586	0.182653226645	0.41558426582	0.684460873717	0.430127456914	0.364839984422	0.534385676672	0.437875024396	0.598814669542	0.78299865926
FN55	0.295311303588	0.254976297743	0.593613625767	0.0	0.459849378497	0.191270963676	0.262472920303	0.264996606754	0.345949990826	0.202868358356	0.416836419594	0.250262834562	0.325922290439	0.318467037793	0.23091260837	0.2943291998	0.587302002394	0.462121677729	0.258470138572	0.257286041539	0.343743131451	0.456114311054	0.383310699314	0.328576965724	0.342874310622	0.529001315074	0.444466105958	0.313863086599	0.377377884091	0.330729959722
FN57	0.592998988219	0.601501093633	0.321523654355	0.459849378497	0.0	0.454800098523	0.459526723293	0.380893396474	0.469770959763	0.421903609478	0.164283560305	0.330856635113	0.332213615145	0.594380996102	0.359136553617	0.413293429814	0.222113109267	0.520156905269	0.28284803331	0.323085421103	0.389714957435	0.273429099066	0.168602229755	0.503670473376	0.263692473762	0.191637973312	0.364233552834	0.27663660223	0.458324760009	0.605926987096
FN32	0.211706122425	0.209070703482	0.607962034261	0.191270963676	0.454800098523	0.0	0.212706376851	0.189411306408	0.32551851713	0.138517557317	0.413893224587	0.192539100464	0.272740685617	0.219843712473	0.215345713266	0.213387467053	0.59590844125	0.427737479556	0.259681192207	0.294028794681	0.411184146155	0.469351849235	0.372798266161	0.217396527061	0.317898205019	0.559570771612	0.455822253744	0.274664459613	0.465009682654	0.253417004554
FN31	0.187757419456	0.280439898936	0.673444766666	0.262472920303	0.459526723293	0.212706376851	0.0	0.187660755475	0.236807160279	0.287464420199	0.435757591852	0.192227547381	0.288659940485	0.301133647469	0.276088393323	0.286780820479	0.591773974471	0.278450316151	0.30028882365	0.323607368302	0.3898465233	0.578616163542	0.385805925355	0.21891986895	0.353339165849	0.580016915535	0.428111365695	0.321406278201	0.491375473655	0.21077902898
FN34	0.282468711532	0.283930170007	0.620488658142	0.264996606754	0.380893396474	0.189411306408	0.187660755475	0.0	0.335610940449	0.207454546573	0.376313309895	0.13241757043	0.22363965991	0.279151537124	0.239102680362	0.210060119538	0.500942970974	0.385786330092	0.252557025519	0.242235130593	0.462511450622	0.524919882825	0.308913149875	0.217416898306	0.297289991817	0.520713744848	0.43499962784	0.284819034876	0.528278674329	0.294923885758
FN36	0.310774166688	0.398928282552	0.662355671819	0.345949990826	0.469770959763	0.32551851713	0.236807160279	0.335610940449	0.0	0.413510569078	0.441855712554	0.321191161051	0.395027200379	0.420155291095	0.41520643352	0.368372613122	0.607979915988	0.217053719359	0.428878709474	0.41463149062	0.32335567253	0.585422462708	0.40335119335	0.384296827305	0.489401994135	0.584520554872	0.413410167847	0.417539884451	0.465609101913	0.353499968743
FN37	0.242167114537	0.238141611175	0.558502358849	0.202868358356	0.421903609478	0.138517557317	0.287464420199	0.207454546573	0.413510569078	0.0	0.375009490209	0.193706773304	0.267137310413	0.243933844488	0.138078641827	0.244201931265	0.5452347518	0.504933946187	0.233082211256	0.227569268793	0.410121169666	0.427399151161	0.347471982699	0.223906652724	0.278104699197	0.500418559314	0.422812051998	0.266076028477	0.475639166205	0.283152592335
FN39	0.5446379217	0.560485136463	0.376414261983	0.416836419594	0.164283560305	0.413893224587	0.435757591852	0.376313309895	0.441855712554	0.375009490209	0.0	0.296492324949	0.318149494859	0.548413505924	0.326042887496	0.381011549958	0.274867829328	0.503836669775	0.240989134186	0.292884622174	0.34752794236	0.314387497472	0.136714388586	0.464374819778	0.253129658894	0.223816239981	0.308044108266	0.251089141022	0.401265631312	0.537198888705
FN59	0.331583443384	0.345282647453	0.57322651339	0.250262834562	0.330856635113	0.192539100464	0.192227547381	0.13241757043	0.321191161051	0.193706773304	0.296492324949	0.0	0.174848415762	0.328494916953	0.192181892512	0.179252454474	0.468332905233	0.398079969226	0.213914071443	0.195863593646	0.387250021372	0.471026308645	0.226319595262	0.237578963874	0.250751119223	0.451719168263	0.360021973653	0.21446833424	0.46378928028	0.338005165128
FN35	0.407680615582	0.432833661903	0.542843111579	0.325922290439	0.332213615145	0.272740685617	0.288659940485	0.22363965991	0.395027200379	0.267137310413	0.318149494859	0.174848415762	0.0	0.370459351306	0.193565320395	0.238910048562	0.406478836763	0.465228708331	0.217260684118	0.250917808388	0.472874809308	0.439294485533	0.24177562717	0.276050869728	0.207068147283	0.473854534578	0.364515733011	0.151544247727	0.556282930213	0.449217520368
FN51	0.198517598078	0.156809889458	0.739647194661	0.318467037793	0.594380996102	0.219843712473	0.301133647469	0.279151537124	0.420155291095	0.243933844488	0.548413505924	0.328494916953	0.370459351306	0.0	0.335169082981	0.325463698522	0.724449200689	0.480934826359	0.400355432437	0.433339484135	0.602641337589	0.603708095341	0.504482724884	0.195546978659	0.440985199967	0.704864939468	0.604999806995	0.381970608797	0.630624906128	0.234609229354
FN50	0.310097548829	0.334928454083	0.488703448518	0.23091260837	0.359136553617	0.215345713266	0.276088393323	0.239102680362	0.41520643352	0.138078641827	0.326042887496	0.192181892512	0.193565320395	0.335169082981	0.0	0.277573045076	0.470927883582	0.505156795997	0.18966636384	0.200443873102	0.390481451283	0.381232485985	0.294277474651	0.247671807204	0.222200074864	0.434923133535	0.353494039272	0.19078220508	0.481235505903	0.358406819325
