	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_10_0.txt	10	0	1.80494	1.75301	2.2167	3.02731	3.4883	2.74023	2.89811	2.59896	3.04196	2.88782	3.57108	2.15037	2.33437	2.51591	2.25446	3.40658	2.61848	2.3978	2.34179	2.06531	3.11018	1.99088	2.62347	1.44879	2.5928	3.38774	3.03201	2.7361	2.80208	1.42058
alpha_rarefaction_10_1.txt	10	1	2.70542	1.48777	2.72809	2.92603	2.55217	3.06692	2.75445	2.3595	2.81798	2.38655	2.85476	2.41819	2.49928	2.70056	2.17488	3.93865	2.53771	2.81906	1.8609	2.47004	3.31962	2.64891	2.99035	2.95267	3.24604	3.23811	3.59191	1.86693	3.31409	2.14728
alpha_rarefaction_10_2.txt	10	2	2.75734	2.94207	2.20029	2.75921	2.80864	3.58641	2.63356	2.89765	3.40196	2.53713	2.7643	2.54538	2.33815	2.34158	2.58876	3.13978	2.87356	2.34362	1.70353	2.77302	3.46354	2.51633	3.09524	3.0089	2.26163	3.0607	3.42285	3.36606	3.01547	2.2296
alpha_rarefaction_10_3.txt	10	3	1.23576	1.69965	1.90613	2.47114	3.61886	2.51195	2.59013	2.35403	1.88324	2.77781	3.92928	3.27445	2.12981	1.73866	2.81561	2.87153	2.60659	3.18228	2.45675	3.00846	3.37926	2.51627	2.75085	2.68494	2.64292	2.27896	2.78629	2.7383	3.40677	3.49188
alpha_rarefaction_10_4.txt	10	4	1.64023	2.16522	2.94029	2.22341	3.1271	2.08383	2.59663	2.22236	2.67272	2.45779	3.55352	2.72736	2.77827	3.32908	2.20263	3.06836	2.5999	1.40175	2.60919	2.41278	3.26626	2.0403	3.1405	1.73211	2.59759	2.88782	3.16804	2.02436	3.98938	2.11619
alpha_rarefaction_10_5.txt	10	5	2.58546	2.24651	1.70958	2.96191	3.14523	1.79253	2.69043	2.8131	2.84229	2.71696	2.73322	3.50873	3.16075	2.09143	2.41171	2.43324	3.06404	1.94291	1.78987	3.27739	2.96374	2.10624	1.8809	2.36529	2.23703	2.96957	2.92634	3.18282	2.84547	1.60624
alpha_rarefaction_10_6.txt	10	6	2.47317	1.49695	2.63445	2.98696	2.77825	1.70279	2.79693	2.35694	2.59876	2.56138	2.97018	2.38669	1.88754	1.77584	2.73453	3.22403	2.95492	2.99537	2.28451	3.17629	4.1095	2.52964	3.10841	2.68033	2.44362	2.27217	3.18431	2.5904	2.85682	2.64853
alpha_rarefaction_10_7.txt	10	7	2.36363	2.05498	2.03468	2.10457	3.2549	2.9339	2.57842	2.83368	2.44559	2.37707	2.63418	2.49224	2.6991	1.32461	1.74065	3.48583	2.37393	1.61376	2.69517	3.40312	3.42705	2.4788	3.2381	1.72079	2.47103	3.46476	3.56661	2.70198	2.87182	2.41629
alpha_rarefaction_10_8.txt	10	8	2.67221	3.22561	1.74134	2.89998	2.59577	1.93884	2.62285	3.22861	2.67952	2.22972	3.49395	2.50776	3.12748	1.27227	2.23916	3.23862	3.29805	2.17663	1.70799	3.32337	3.49798	1.98365	2.72722	2.02453	2.62033	3.29933	3.00393	1.98304	2.71389	1.88582
alpha_rarefaction_10_9.txt	10	9	2.01639	2.22778	2.59268	2.19225	3.51903	2.64381	2.17421	2.84166	1.93311	1.53232	3.43428	3.67034	2.65878	1.42057	1.64107	3.57766	2.96858	2.79137	2.44421	3.36105	3.28027	2.47087	2.97914	2.36662	2.40164	3.01944	3.40673	3.10645	3.94773	2.45177
