	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_10_0.txt	10	0	13.0	29.0	9.0	12.0	55.0	13.0	8.5	23.0	29.0	23.0	55.0	13.0	12.0	12.0	12.0	23.0	8.5	16.0	16.0	23.0	13.0	12.0	23.0	8.0	55.0	29.0	12.0	23.0	9.0	23.0
alpha_rarefaction_10_1.txt	10	1	23.0	29.0	22.0	13.0	13.0	55.0	29.0	23.0	23.0	13.0	23.0	55.0	13.0	23.0	12.0	55.0	13.0	55.0	12.0	55.0	16.0	22.0	23.0	23.0	29.0	23.0	29.0	22.0	23.0	8.5
alpha_rarefaction_10_2.txt	10	2	23.0	13.0	6.5	23.0	13.0	23.0	55.0	23.0	55.0	55.0	13.0	23.0	12.0	29.0	13.0	55.0	23.0	11.0	7.0	23.0	23.0	23.0	55.0	29.0	8.5	29.0	23.0	23.0	8.5	13.0
alpha_rarefaction_10_3.txt	10	3	7.0	8.5	6.5	55.0	23.0	55.0	23.0	13.0	7.0	23.0	23.0	23.0	12.0	8.5	12.0	55.0	22.0	22.0	29.0	55.0	55.0	12.0	23.0	7.0	13.0	9.0	8.5	55.0	55.0	55.0
alpha_rarefaction_10_4.txt	10	4	23.0	23.0	16.0	55.0	23.0	23.0	12.0	13.0	13.0	22.0	55.0	13.0	8.5	23.0	13.0	23.0	29.0	4.0	29.0	23.0	29.0	22.0	23.0	16.0	7.0	8.5	8.5	29.0	23.0	9.0
alpha_rarefaction_10_5.txt	10	5	29.0	13.0	9.0	29.0	23.0	13.0	13.0	55.0	8.5	13.0	23.0	23.0	29.0	23.0	12.0	23.0	22.0	16.0	12.0	55.0	8.5	29.0	13.0	23.0	8.5	29.0	29.0	13.0	23.0	13.0
alpha_rarefaction_10_6.txt	10	6	29.0	55.0	22.0	13.0	22.0	12.0	23.0	12.0	8.5	13.0	23.0	8.5	8.5	12.0	12.0	55.0	55.0	22.0	29.0	13.0	55.0	22.0	13.0	13.0	13.0	13.0	8.5	23.0	13.0	55.0
alpha_rarefaction_10_7.txt	10	7	23.0	13.0	16.0	55.0	8.5	22.0	9.0	23.0	23.0	29.0	8.5	23.0	13.0	13.0	5.5	55.0	29.0	11.0	13.0	13.0	29.0	29.0	13.0	12.0	13.0	22.0	55.0	29.0	13.0	12.0
alpha_rarefaction_10_8.txt	10	8	13.0	55.0	6.5	55.0	13.0	23.0	55.0	23.0	12.0	23.0	55.0	29.0	13.0	12.0	8.5	23.0	23.0	23.0	9.0	55.0	13.0	16.0	13.0	5.5	23.0	22.0	12.0	4.0	12.0	12.0
alpha_rarefaction_10_9.txt	10	9	29.0	8.5	16.0	23.0	23.0	13.0	12.0	55.0	9.0	16.0	23.0	55.0	8.5	13.0	13.0	23.0	13.0	9.0	29.0	55.0	29.0	29.0	55.0	23.0	55.0	29.0	13.0	23.0	55.0	13.0
alpha_rarefaction_39360_0.txt	39360	0	373.137931034	273.677419355	372.896551724	485.44	372.277777778	509.75	443.5	354.441176471	340.162162162	427.896551724	389.75	500.279069767	275.5	384.636363636	267.136363636	439.0	372.294117647	459.32	414.638297872	481.903225806	417.617647059	294.230769231	485.171428571	273.4	333.55	436.666666667	386.619047619	491.477272727	400.0	250.047619048
alpha_rarefaction_39360_1.txt	39360	1	379.533333333	396.333333333	314.394736842	440.0	397.6	435.5	374.634146341	421.285714286	355.161290323	459.941176471	374.875	481.166666667	242.166666667	460.454545455	326.789473684	433.622222222	350.777777778	497.0625	407.162162162	466.0	395.171428571	267.4	462.41025641	300.12	288.0	410.886363636	349.285714286	489.0625	429.65625	250.25
alpha_rarefaction_39360_2.txt	39360	2	373.405405405	304.535714286	361.285714286	419.454545455	438.103448276	411.95	386.756756757	390.206896552	355.444444444	535.047619048	365.666666667	522.133333333	237.454545455	353.0	288.142857143	435.418604651	326.088235294	447.895833333	510.0	496.6	410.166666667	286.111111111	439.243243243	307.913043478	302.333333333	418.117647059	290.323529412	496.227272727	394.25	245.130434783
alpha_rarefaction_39360_3.txt	39360	3	352.0	347.25	344.027777778	371.941176471	395.833333333	393.590909091	469.0	377.848484848	330.5	456.5	354.0	523.028571429	259.235294118	371.64	279.142857143	453.551724138	333.923076923	459.765957447	429.238095238	452.0	407.5	280.24137931	469.294117647	329.545454545	263.857142857	438.076923077	321.954545455	523.097560976	412.0	235.652173913
alpha_rarefaction_39360_4.txt	39360	4	390.333333333	359.666666667	324.238095238	470.0	363.418604651	433.857142857	417.0	358.833333333	333.03125	429.24137931	356.757575758	505.882352941	301.588235294	385.166666667	288.956521739	421.837837838	332.363636364	453.365853659	432.6	464.1	488.37037037	299.108108108	487.512195122	286.555555556	242.473684211	409.972972973	311.033333333	547.733333333	393.058823529	215.619047619
alpha_rarefaction_39360_5.txt	39360	5	356.772727273	340.75	327.517241379	458.129032258	422.774193548	452.0	421.428571429	379.1	365.0	457.1	389.333333333	479.382978723	253.045454545	385.365853659	267.894736842	458.275862069	396.0	472.428571429	397.318181818	473.538461538	387.1875	320.181818182	462.170731707	391.235294118	284.166666667	427.857142857	321.64	499.957446809	396.823529412	283.1
alpha_rarefaction_39360_6.txt	39360	6	343.477272727	390.0	348.137931034	447.387096774	365.558139535	464.184210526	439.0	382.1875	318.555555556	416.0	375.823529412	502.72	237.285714286	376.2	310.714285714	455.256410256	377.441176471	515.078947368	425.4375	489.12	445.1	283.454545455	447.553191489	295.64	283.416666667	421.770833333	285.676470588	468.068181818	424.028571429	233.0
alpha_rarefaction_39360_7.txt	39360	7	343.41025641	313.037037037	339.394736842	451.24137931	363.206896552	413.0	403.166666667	466.24	321.25	417.03125	330.657894737	480.642857143	253.15	346.634146341	245.913043478	419.323529412	363.193548387	452.12244898	449.0	477.181818182	450.516129032	284.965517241	461.0	288.303030303	278.607142857	438.025641026	310.09375	458.352941176	397.303030303	248.555555556
alpha_rarefaction_39360_8.txt	39360	8	371.387096774	326.166666667	337.394736842	437.777777778	374.46875	386.4375	409.088235294	387.391304348	361.5	427.193548387	348.588235294	525.153846154	278.928571429	399.516129032	267.0	517.84	320.371428571	489.022222222	407.538461538	447.322580645	405.0	319.285714286	470.95	312.5	294.571428571	438.166666667	309.303030303	490.448979592	395.622222222	248.235294118
alpha_rarefaction_39360_9.txt	39360	9	349.181818182	323.636363636	324.333333333	457.5	380.028571429	415.153846154	397.9	406.444444444	312.763157895	418.2	386.535714286	519.0	267.666666667	383.027027027	283.035714286	508.0	324.0	445.022222222	478.117647059	471.517241379	395.0	268.076923077	528.529411765	292.096774194	261.913043478	452.294117647	299.107142857	520.0	426.0	265.055555556
alpha_rarefaction_78710_0.txt	78710	0	456.0	341.535714286	393.171428571	539.642857143	427.0	468.972972973	451.552631579	457.5	393.617647059	453.176470588	430.517241379	553.75	288.05	463.228571429	336.333333333	529.25	419.512195122	504.660377358	453.65	469.675675676	491.28125	320.0	507.133333333	329.517241379	328.0	485.666666667	359.333333333	563.066666667	412.956521739	259.7
alpha_rarefaction_78710_1.txt	78710	1	372.981132075	412.545454545	379.085714286	486.622222222	388.941176471	458.692307692	464.083333333	457.454545455	364.583333333	454.692307692	393.088235294	566.142857143	299.333333333	428.076923077	319.111111111	508.65625	425.090909091	556.30952381	503.0	530.615384615	449.405405405	324.0	535.085714286	335.037037037	335.5	485.171428571	361.727272727	563.7	440.885714286	262.0
alpha_rarefaction_78710_2.txt	78710	2	413.0	372.096774194	364.3125	458.411764706	411.405405405	459.736842105	457.837209302	418.40625	354.692307692	468.071428571	478.130434783	524.775	309.5625	433.5	308.333333333	517.428571429	469.2	548.9	438.617647059	503.756756757	469.848484848	312.933333333	515.625	353.2	321.04	504.75	369.2	520.857142857	487.848484848	259.285714286
alpha_rarefaction_78710_3.txt	78710	3	420.025641026	374.777777778	374.7	506.5	403.090909091	501.076923077	451.375	444.375	393.0	469.097560976	426.384615385	568.895833333	289.04	430.085714286	346.037037037	533.076923077	446.84375	498.269230769	474.0	530.275862069	450.477272727	323.0	489.06	334.277777778	376.647058824	496.935483871	376.37037037	543.1875	429.022222222	278.0
alpha_rarefaction_78710_4.txt	78710	4	408.0	387.913043478	410.4375	520.275	395.923076923	463.609756098	475.058823529	430.576923077	368.95	455.95	383.25	558.0	297.055555556	452.0	379.5	484.567567568	399.275	562.5	456.25	513.027027027	464.027777778	369.3125	522.333333333	328.275	364.882352941	480.636363636	382.6	564.0	446.454545455	295.142857143
alpha_rarefaction_78710_5.txt	78710	5	459.0	383.2	359.459459459	510.512195122	424.46875	429.692307692	426.4	496.714285714	371.219512195	478.025641026	437.965517241	573.8	324.5	497.8	310.363636364	523.0	384.591836735	604.023809524	474.848484848	499.029411765	433.523809524	293.076923077	569.7	308.363636364	328.038461538	474.028571429	487.714285714	582.736842105	438.571428571	304.6875
alpha_rarefaction_78710_6.txt	78710	6	420.477272727	416.307692308	373.736842105	474.348837209	363.947368421	452.630434783	466.0	465.916666667	349.617647059	504.0	416.291666667	530.583333333	288.05	443.073170732	332.384615385	532.884615385	420.5	523.384615385	467.153846154	501.096774194	463.617647059	307.029411765	510.95	382.5	319.0	459.772727273	445.6875	568.0	417.333333333	279.117647059
alpha_rarefaction_78710_7.txt	78710	7	475.794117647	376.8	409.153846154	605.777777778	438.125	509.4375	425.977272727	422.0	365.736842105	520.517241379	398.451612903	554.11627907	269.0	385.317073171	325.486486486	497.444444444	406.162162162	526.145833333	474.666666667	561.24137931	462.375	341.875	541.25	322.6	301.052631579	467.857142857	352.1875	595.026315789	413.684210526	266.333333333
alpha_rarefaction_78710_8.txt	78710	8	472.923076923	408.6	400.6	489.363636364	399.303030303	481.666666667	451.090909091	470.137931034	370.03125	461.5	389.416666667	569.1875	273.130434783	412.976744186	330.037037037	510.428571429	440.25	553.157894737	466.029411765	560.25	470.285714286	360.217391304	510.184210526	314.0	291.085714286	487.5	370.65625	521.8	447.317073171	325.666666667
alpha_rarefaction_78710_9.txt	78710	9	443.357142857	342.037037037	401.033333333	511.125	395.487179487	491.774193548	496.24137931	452.903225806	396.615384615	483.682926829	403.5	568.348837209	310.142857143	445.466666667	318.565217391	494.028571429	379.571428571	543.0625	458.567567568	525.303030303	506.363636364	306.666666667	511.6875	333.285714286	313.125	436.272727273	426.6	506.042553191	460.567567568	318.4
alpha_rarefaction_118060_0.txt	118060	0	445.5	403.09375	402.4	549.371428571	458.7	487.372093023	463.0	435.666666667	394.886363636	523.285714286	442.777777778	612.263157895	345.352941176	456.682926829	411.058823529	495.8	441.068181818	614.170731707	527.0	536.5	449.871794872	373.25	535.833333333	353.033333333	357.6	510.677419355	387.538461538	630.022727273	453.636363636	333.4375
alpha_rarefaction_118060_1.txt	118060	1	436.442307692	415.888888889	451.181818182	521.146341463	427.125	494.428571429	495.375	415.153846154	408.081081081	502.341463415	433.243243243	621.783783784	316.913043478	435.416666667	357.517241379	547.0	472.0	542.454545455	481.0	529.0	500.6	333.933333333	510.071428571	362.736842105	353.045454545	496.477272727	416.387096774	646.657894737	448.243243243	340.555555556
