	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_10_0.txt	10	0	8.0	8.0	6.0	7.0	10.0	8.0	7.0	9.0	8.0	9.0	10.0	8.0	7.0	7.0	7.0	9.0	7.0	6.0	6.0	9.0	8.0	7.0	9.0	5.0	10.0	8.0	7.0	9.0	6.0	9.0
alpha_rarefaction_10_1.txt	10	1	9.0	8.0	7.0	8.0	8.0	10.0	8.0	9.0	9.0	8.0	9.0	10.0	8.0	9.0	7.0	10.0	8.0	10.0	7.0	10.0	6.0	7.0	9.0	9.0	8.0	9.0	8.0	7.0	9.0	7.0
alpha_rarefaction_10_2.txt	10	2	9.0	8.0	5.0	9.0	8.0	9.0	10.0	9.0	10.0	10.0	8.0	9.0	7.0	8.0	8.0	10.0	9.0	5.0	6.0	9.0	9.0	9.0	10.0	8.0	7.0	8.0	9.0	9.0	7.0	8.0
alpha_rarefaction_10_3.txt	10	3	6.0	7.0	5.0	10.0	9.0	10.0	9.0	8.0	6.0	9.0	9.0	9.0	7.0	7.0	7.0	10.0	7.0	7.0	8.0	10.0	10.0	7.0	9.0	6.0	8.0	6.0	7.0	10.0	10.0	10.0
alpha_rarefaction_10_4.txt	10	4	9.0	9.0	6.0	10.0	9.0	9.0	7.0	8.0	8.0	7.0	10.0	8.0	7.0	9.0	8.0	9.0	8.0	3.0	8.0	9.0	8.0	7.0	9.0	6.0	6.0	7.0	7.0	8.0	9.0	6.0
alpha_rarefaction_10_5.txt	10	5	8.0	8.0	6.0	8.0	9.0	8.0	8.0	10.0	7.0	8.0	9.0	9.0	8.0	9.0	7.0	9.0	7.0	6.0	7.0	10.0	7.0	8.0	8.0	9.0	7.0	8.0	8.0	8.0	9.0	8.0
alpha_rarefaction_10_6.txt	10	6	8.0	10.0	7.0	8.0	7.0	7.0	9.0	7.0	7.0	8.0	9.0	7.0	7.0	7.0	6.0	10.0	10.0	7.0	8.0	8.0	10.0	7.0	8.0	8.0	8.0	8.0	7.0	9.0	8.0	10.0
alpha_rarefaction_10_7.txt	10	7	9.0	8.0	6.0	10.0	7.0	7.0	6.0	9.0	9.0	8.0	7.0	9.0	8.0	8.0	5.0	10.0	8.0	5.0	8.0	8.0	8.0	8.0	8.0	6.0	8.0	7.0	10.0	8.0	8.0	7.0
alpha_rarefaction_10_8.txt	10	8	8.0	10.0	5.0	10.0	8.0	9.0	10.0	9.0	7.0	9.0	10.0	8.0	8.0	7.0	7.0	9.0	9.0	9.0	6.0	10.0	8.0	6.0	8.0	5.0	9.0	7.0	7.0	4.0	7.0	7.0
alpha_rarefaction_10_9.txt	10	9	8.0	7.0	6.0	9.0	9.0	8.0	7.0	10.0	6.0	6.0	9.0	10.0	7.0	8.0	8.0	9.0	8.0	6.0	8.0	10.0	8.0	8.0	10.0	9.0	10.0	8.0	8.0	9.0	10.0	8.0
alpha_rarefaction_39360_0.txt	39360	0	280.0	251.0	272.0	346.0	309.0	361.0	339.0	324.0	273.0	347.0	316.0	434.0	205.0	305.0	218.0	374.0	295.0	381.0	354.0	404.0	336.0	235.0	408.0	214.0	248.0	348.0	258.0	416.0	339.0	205.0
