Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
3	6	575.865260861	70.2424190918	556.687832872	95.7947095909	0.3263246312	1.0
5	6	566.402692475	91.8476764395	556.687832872	95.7947095909	0.144053599127	1.0
5	4	566.402692475	91.8476764395	479.55953415	70.3857843531	1.43383552793	1.0
4	6	479.55953415	70.3857843531	556.687832872	95.7947095909	-1.12380571042	1.0
1	4	561.260668215	18.7970108264	479.55953415	70.3857843531	1.94242506321	1.0
1	6	561.260668215	18.7970108264	556.687832872	95.7947095909	0.0811336079079	1.0
1	3	561.260668215	18.7970108264	575.865260861	70.2424190918	-0.363360823735	1.0
3	2	575.865260861	70.2424190918	504.586423853	64.3446388848	1.67317249231	1.0
1	2	561.260668215	18.7970108264	504.586423853	64.3446388848	1.53261395207	1.0
1	5	561.260668215	18.7970108264	566.402692475	91.8476764395	-0.0987781320098	1.0
2	6	504.586423853	64.3446388848	556.687832872	95.7947095909	-0.9202237971	1.0
3	4	575.865260861	70.2424190918	479.55953415	70.3857843531	1.89822913928	1.0
2	5	504.586423853	64.3446388848	566.402692475	91.8476764395	-1.23257281147	1.0
3	5	575.865260861	70.2424190918	566.402692475	91.8476764395	0.182990456975	1.0
2	4	504.586423853	64.3446388848	479.55953415	70.3857843531	0.518928728026	1.0
