Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
59	49	FN50	0.0	FN46	0.0	None	None
72	34	FN53	0.0	531.95	55.65	-1.78081174675	1.0
22	45	FN39	0.0	480.775	56.5518512075	-0.246205470419	1.0
43	34	521.7	24.1	531.95	55.65	-0.169018326214	1.0
59	35	FN50	0.0	FN38	0.0	None	None
35	29	FN38	0.0	401.55	68.55	-0.361738790105	1.0
31	34	FN40	0.0	531.95	55.65	-0.0887034106302	1.0
41	33	FN44	0.0	FN32	0.0	None	None
59	72	FN50	0.0	FN53	0.0	None	None
33	36	FN32	0.0	FN54	0.0	None	None
22	35	FN39	0.0	FN38	0.0	None	None
30	49	442.05	72.85	FN46	0.0	0.0217942792076	1.0
59	47	FN50	0.0	590.166666667	42.6619528646	-3.71216829343	1.0
33	42	FN32	0.0	494.95	49.55	0.274401591108	1.0
42	43	494.95	49.55	521.7	24.1	-0.485480743854	1.0
49	43	FN46	0.0	521.7	24.1	-1.97401087889	1.0
39	30	FN58	0.0	442.05	72.85	0.426771612846	1.0
59	29	FN50	0.0	401.55	68.55	-0.297729132252	1.0
29	61	401.55	68.55	FN36	0.0	-0.156234099102	1.0
49	60	FN46	0.0	FN60	0.0	None	None
49	31	FN46	0.0	FN40	0.0	None	None
42	60	494.95	49.55	FN60	0.0	1.99538312005	1.0
45	34	480.775	56.5518512075	531.95	55.65	-0.857703400027	1.0
41	34	FN44	0.0	531.95	55.65	0.157176218836	1.0
39	61	FN58	0.0	FN36	0.0	None	None
34	50	531.95	55.65	498.3	0.0	0.34910757517	1.0
33	29	FN32	0.0	401.55	68.55	0.984990721834	1.0
33	47	FN32	0.0	590.166666667	42.6619528646	-1.18784965484	1.0
39	34	FN58	0.0	531.95	55.65	-0.374006778154	1.0
47	61	590.166666667	42.6619528646	FN36	0.0	2.81879485535	1.0
30	60	442.05	72.85	FN60	0.0	0.937946525169	1.0
49	72	FN46	0.0	FN53	0.0	None	None
30	47	442.05	72.85	590.166666667	42.6619528646	-2.21660433018	1.0
47	34	590.166666667	42.6619528646	531.95	55.65	1.02320253323	1.0
39	45	FN58	0.0	480.775	56.5518512075	0.207168719894	1.0
31	42	FN40	0.0	494.95	49.55	0.331495765054	1.0
22	72	FN39	0.0	FN53	0.0	None	None
72	50	FN53	0.0	498.3	0.0	None	None
39	50	FN58	0.0	498.3	0.0	None	None
59	42	FN50	0.0	494.95	49.55	-1.50017855011	1.0
22	50	FN39	0.0	498.3	0.0	None	None
