# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Sequencing	All between Sequencing	-0.967216621596	0.333975666318	1	0.349	1.000
All within Sequencing	1 vs. 1	1.70220094742	0.0933536763085	1	0.094	1.000
All within Sequencing	3 vs. 3	2.56432929293	0.0123100938957	1	0.014	1.000
All within Sequencing	2 vs. 2	-1.97616075294	0.0517658078306	1	0.045	1.000
All within Sequencing	5 vs. 5	-0.81417743673	0.418087075574	1	0.414	1.000
All within Sequencing	4 vs. 4	-0.307440455562	0.759461766275	1	0.757	1.000
All within Sequencing	6 vs. 6	-0.791630701818	0.431369779835	1	0.445	1.000
All within Sequencing	1 vs. 3	0.767277929207	0.445042350871	1	0.434	1.000
All within Sequencing	1 vs. 2	0.209293889717	0.834719611795	1	0.859	1.000
All within Sequencing	1 vs. 5	-0.477033073955	0.634562779497	1	0.624	1.000
All within Sequencing	1 vs. 4	1.08298594547	0.282194369635	1	0.280	1.000
All within Sequencing	1 vs. 6	-0.0383801158229	0.969483948436	1	0.975	1.000
All within Sequencing	3 vs. 2	-1.58351379948	0.116559501921	1	0.128	1.000
All within Sequencing	3 vs. 5	1.02929643146	0.305900164333	1	0.318	1.000
All within Sequencing	3 vs. 4	-0.741178157368	0.460628221261	1	0.448	1.000
All within Sequencing	3 vs. 6	0.845620013344	0.400138932958	1	0.405	1.000
All within Sequencing	2 vs. 5	-2.47143310105	0.0152004352374	1	0.018	1.000
All within Sequencing	2 vs. 4	-1.27311404059	0.2064485136	1	0.198	1.000
All within Sequencing	2 vs. 6	-2.01371822016	0.0472023123422	1	0.061	1.000
All within Sequencing	5 vs. 4	-1.34147696667	0.18333880297	1	0.176	1.000
All within Sequencing	5 vs. 6	-0.245377569005	0.806755570319	1	0.814	1.000
All within Sequencing	4 vs. 6	-1.41678590494	0.160578787892	1	0.163	1.000
All between Sequencing	1 vs. 1	2.16526121648	0.0309960431531	1	0.024	1.000
All between Sequencing	3 vs. 3	3.31899593769	0.000989548030692	0.250355651765	0.001	0.253
All between Sequencing	2 vs. 2	-1.66350030711	0.097026060035	1	0.089	1.000
All between Sequencing	5 vs. 5	-0.478152525047	0.632813036777	1	0.618	1.000
All between Sequencing	4 vs. 4	-0.010258005102	0.991820880072	1	0.995	1.000
All between Sequencing	6 vs. 6	-0.584536215848	0.559210167981	1	0.543	1.000
All between Sequencing	1 vs. 3	1.51129417923	0.13151511648	1	0.120	1.000
All between Sequencing	1 vs. 2	0.878074863126	0.380438228528	1	0.366	1.000
All between Sequencing	1 vs. 5	0.0928376337062	0.926079739947	1	0.930	1.000
All between Sequencing	1 vs. 4	1.70630382496	0.0887558582803	1	0.095	1.000
All between Sequencing	1 vs. 6	0.477561472235	0.63323266004	1	0.621	1.000
All between Sequencing	3 vs. 2	-1.15341865907	0.249417153796	1	0.255	1.000
All between Sequencing	3 vs. 5	2.07167749312	0.0389265140638	1	0.029	1.000
All between Sequencing	3 vs. 4	-0.215285034972	0.829656491652	1	0.841	1.000
All between Sequencing	3 vs. 6	1.72220612029	0.0858169682043	1	0.078	1.000
All between Sequencing	2 vs. 5	-2.28659427535	0.0227336170693	1	0.024	1.000
All between Sequencing	2 vs. 4	-0.7910342328	0.429399922426	1	0.443	1.000
All between Sequencing	2 vs. 6	-1.82274930164	0.0690991109772	1	0.071	1.000
All between Sequencing	5 vs. 4	-0.920304611828	0.357976716218	1	0.342	1.000
All between Sequencing	5 vs. 6	0.28730644859	0.774028729494	1	0.768	1.000
All between Sequencing	4 vs. 6	-1.08984451344	0.276461538017	1	0.300	1.000
1 vs. 1	3 vs. 3	-0.0853342254022	0.932888481915	1	0.922	1.000
1 vs. 1	2 vs. 2	-4.36099755063	0.000336271680482	0.0850767351619	0.001	0.253
1 vs. 1	5 vs. 5	-1.78957132637	0.0894755424478	1	0.074	1.000
1 vs. 1	4 vs. 4	-2.18654873695	0.0536481752348	1	0.061	1.000
1 vs. 1	6 vs. 6	-1.61596367417	0.137174783416	1	0.141	1.000
1 vs. 1	1 vs. 3	-1.78642184352	0.0848647504746	1	0.073	1.000
1 vs. 1	1 vs. 2	-2.21069215325	0.0353964623287	1	0.043	1.000
1 vs. 1	1 vs. 5	-2.53438122774	0.0171388891778	1	0.023	1.000
1 vs. 1	1 vs. 4	-1.86738018148	0.0765752109692	1	0.070	1.000
1 vs. 1	1 vs. 6	-1.78875891598	0.0888123861715	1	0.078	1.000
1 vs. 1	3 vs. 2	-2.85194226228	0.00684392015298	1	0.009	1.000
1 vs. 1	3 vs. 5	-1.11881727867	0.269892108059	1	0.270	1.000
1 vs. 1	3 vs. 4	-2.62444771708	0.013897621636	1	0.018	1.000
1 vs. 1	3 vs. 6	-0.811951050529	0.423669116854	1	0.440	1.000
1 vs. 1	2 vs. 5	-3.14329781846	0.00314352042716	0.795310668073	0.003	0.759
1 vs. 1	2 vs. 4	-3.48896859167	0.00162233197896	0.410449990676	0.002	0.506
1 vs. 1	2 vs. 6	-2.68948719319	0.0119220856454	1	0.013	1.000
1 vs. 1	5 vs. 4	-2.89220327336	0.00732101135831	1	0.007	1.000
1 vs. 1	5 vs. 6	-1.30950451043	0.201007495018	1	0.205	1.000
1 vs. 1	4 vs. 6	-2.88079088131	0.00924159378623	1	0.009	1.000
3 vs. 3	2 vs. 2	-5.9315274557	2.2006000523e-06	0.000556751813231	0.001	0.253
3 vs. 3	5 vs. 5	-2.67735289443	0.0122695254344	1	0.014	1.000
3 vs. 3	4 vs. 4	-2.84816148162	0.0102835463916	1	0.010	1.000
