# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Sequencing	All between Sequencing	-0.349845074302	0.726625066606	1	0.723	1.000
All within Sequencing	1 vs. 1	3.19814777246	0.00211280880137	0.534540626747	0.004	1.000
All within Sequencing	3 vs. 3	-1.64916336009	0.1032419264	1	0.109	1.000
All within Sequencing	2 vs. 2	0.530875158752	0.597053291508	1	0.622	1.000
All within Sequencing	5 vs. 5	-0.785648900933	0.434515766521	1	0.424	1.000
All within Sequencing	4 vs. 4	1.64027298325	0.105635448338	1	0.106	1.000
All within Sequencing	6 vs. 6	-1.44278050534	0.153741292282	1	0.145	1.000
All within Sequencing	1 vs. 3	-2.45955960712	0.0159372355091	1	0.019	1.000
All within Sequencing	1 vs. 2	1.01887372898	0.311154191223	1	0.296	1.000
All within Sequencing	1 vs. 5	0.331429796703	0.741135611258	1	0.748	1.000
All within Sequencing	1 vs. 4	4.0166738347	0.000136167493862	0.0344503759472	0.001	0.253
All within Sequencing	1 vs. 6	0.671281896729	0.504049833188	1	0.501	1.000
All within Sequencing	3 vs. 2	-0.30428926895	0.761559356411	1	0.751	1.000
All within Sequencing	3 vs. 5	-1.64866047377	0.102452484069	1	0.086	1.000
All within Sequencing	3 vs. 4	-2.99067145258	0.00364102987698	0.921180558876	0.009	1.000
All within Sequencing	3 vs. 6	-1.51671072295	0.133050146004	1	0.132	1.000
All within Sequencing	2 vs. 5	1.10564284032	0.271615890549	1	0.270	1.000
All within Sequencing	2 vs. 4	0.814692486387	0.417525095306	1	0.427	1.000
All within Sequencing	2 vs. 6	-0.115021329297	0.90869949758	1	0.910	1.000
All within Sequencing	5 vs. 4	0.411551227286	0.681704282961	1	0.660	1.000
All within Sequencing	5 vs. 6	-0.603105325456	0.548044523597	1	0.571	1.000
All within Sequencing	4 vs. 6	-0.200713922134	0.841451490468	1	0.848	1.000
