OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Yes_mean	No_mean	taxonomy
4365684	6.65173598956	0.00990592637694	0.763176997789	1.0	137.625	1264.35714286	k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__
4309322	5.9026284133	0.015118307312	0.763176997789	1.0	5.0625	1.42857142857	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__aeria
4400869	5.83934557063	0.015671654522	0.763176997789	1.0	24.75	546.5	k__Bacteria;p__SR1;c__;o__;f__;g__;s__
29566	5.28654569115	0.0214908073845	0.763176997789	1.0	0.9375	13.5714285714	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__
2901965	5.14625482134	0.0232965676136	0.763176997789	1.0	1.8125	18.2857142857	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor;s__
92144	5.0989010989	0.0239410061398	0.763176997789	1.0	0.0	0.285714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
1033687	5.0989010989	0.0239410061398	0.763176997789	1.0	0.0	0.285714285714	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
4318284	5.07936507937	0.0242122348373	0.763176997789	1.0	0.0	0.357142857143	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__
238674	4.97762785532	0.0256771677726	0.763176997789	1.0	3.5	6.28571428571	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
373689	4.93990132728	0.0262435347598	0.763176997789	1.0	3.8125	1.07142857143	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
4309087	4.61603110462	0.0316744468995	0.763176997789	1.0	11.3125	29.2857142857	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__
799211	4.61298884253	0.0317306830849	0.763176997789	1.0	7.0625	120.785714286	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__
4330849	4.49613655891	0.0339715240306	0.763176997789	1.0	1545.5	5579.21428571	k__Bacteria;p__SR1;c__;o__;f__;g__;s__
92629	4.35027841782	0.0370028964741	0.763176997789	1.0	21.625	42.1428571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
910500	4.1220940027	0.0423266568363	0.763176997789	1.0	1.1875	0.428571428571	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
42538	4.08879049173	0.0431685229155	0.763176997789	1.0	45.0625	41.7142857143	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__
3943	4.00803571429	0.0452838796635	0.763176997789	1.0	0.0625	0.5	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
530164	3.98156682028	0.0460007548529	0.763176997789	1.0	2440.5	5114.78571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
4451252	3.98156682028	0.0460007548529	0.763176997789	1.0	3798.8125	3909.28571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
928424	3.88888888889	0.0486065706734	0.763176997789	1.0	0.3125	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
4318098	3.88888888889	0.0486065706734	0.763176997789	1.0	0.375	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
12464	3.88145315488	0.0488222830691	0.763176997789	1.0	0.5625	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__luteus
2714267	3.87054889623	0.0491404479662	0.763176997789	1.0	2.625	3.42857142857	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__tannerae
4397680	3.75792325518	0.0525578181212	0.763176997789	1.0	0.25	1.21428571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
990153	3.71698487251	0.0538615498783	0.763176997789	1.0	2.8125	0.571428571429	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
4447514	3.71566687847	0.0539040878447	0.763176997789	1.0	188.25	321.0	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__amylovorum
4440970	3.70538247933	0.0542372394967	0.763176997789	1.0	2.8125	22.4285714286	k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__;s__
677680	3.68042671614	0.055054758386	0.763176997789	1.0	10.0	24.8571428571	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
4416015	3.67346938776	0.055284992717	0.763176997789	1.0	0.0	0.285714285714	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
4323100	3.67346938776	0.055284992717	0.763176997789	1.0	0.0	0.285714285714	k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__;g__;s__
4412630	3.67346938776	0.055284992717	0.763176997789	1.0	0.0	0.357142857143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
221127	3.54595475851	0.0596908054192	0.763176997789	1.0	0.5	2.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
4398594	3.51584951146	0.0607844876937	0.763176997789	1.0	265.9375	863.571428571	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor;s__
4320312	3.49942396313	0.0613901788206	0.763176997789	1.0	1609.6875	2627.64285714	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
2836861	3.44636053425	0.0633912106358	0.763176997789	1.0	3.75	12.7142857143	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__socranskii
4320126	3.43125119499	0.0639736173848	0.763176997789	1.0	141.0625	68.1428571429	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa
4440670	3.40563662618	0.064974038131	0.763176997789	1.0	835.125	384.5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__
4298483	3.34562211982	0.0673840021483	0.763176997789	1.0	432.875	1074.64285714	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
872158	3.21503988738	0.0729644130012	0.763176997789	1.0	3.5625	25.7142857143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__
