Taxon	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FN39	FN40	FN41	FN42	FN43	FN44	FN45	FN46	FN47	FN48	FN49	FN50	FN51	FN52	FN53	FN54	FN55	FN56	FN57	FN58	FN59	FN60
Unassigned;Other;Other;Other	0.116898230909	0.0589541285376	0.0473170276636	0.0723166583539	0.0657054132763	0.0580456234568	0.0747800501021	0.0128364776751	0.0455271872102	0.0317280993361	0.0548851943904	0.031885536025	0.0257322415149	0.0594538316379	0.0312344014458	0.0264176651063	0.0849777559736	0.0294926588415	0.0570117632134	0.167727291077	0.137373255508	0.0462736777007	0.0182178321587	0.000577648500285	0.0555480718975	0.0329928038169	0.0223872727191	0.0158319672622	0.079227380638	0.0869929870758
k__Bacteria;Other;Other;Other	6.85080195059e-06	0.0	1.10754849678e-05	4.99265829598e-07	0.0	0.0	0.0	0.0	0.0	6.08478539976e-06	4.29260084393e-06	0.0	0.0	0.0	1.91246641231e-06	0.0	0.0	2.9872465908e-05	0.0	0.0	0.0	2.34577839858e-05	1.04802578143e-06	1.20594676469e-06	1.53949536881e-06	9.29139198989e-07	0.0	7.47849185742e-07	0.0	6.84655300019e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0419025019557	0.0621839704463	0.0119427806368	0.047417772166	0.102751109236	0.079876381049	0.0161461784981	0.0112913637874	0.045403944181	0.0102812590638	0.0380431749793	0.0231727558142	0.0181377239823	0.012303971542	0.07122789906	0.0151208939863	0.0368191599674	0.126066073627	0.133560750759	0.00669037474173	0.0912097187856	0.080836589878	0.010975974009	0.00252284063172	0.0199841893826	0.0270648957274	0.0506257353933	0.0156337872279	0.0590822320407	0.0344484314205
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	3.46821848749e-05	9.82681207137e-05	2.81146926106e-05	1.44787090583e-05	0.00165940728919	0.0	5.05296871629e-05	0.000108864637328	0.0	0.000123723969795	0.000289750556965	4.99930009799e-05	0.0	0.000432003701856	0.000107098119089	0.000434115988638	0.000383556145261	0.000497163182613	2.34935357536e-06	5.5049709888e-06	0.000890410086528	0.00709704591861	1.04802578143e-06	2.41189352937e-05	0.000177811715098	7.71185535161e-05	7.15820070956e-05	1.72005312721e-05	0.000109045379957	6.84655300019e-07
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	6.16572175554e-05	0.000130060748003	4.04681181516e-05	0.00016176212879	0.00052094715817	3.94882325067e-05	6.02469346943e-05	0.000315134476476	0.000256587946024	0.000170373991193	0.000261848651479	0.00014997900294	4.86984131622e-06	0.000755554591531	0.000898859213785	8.12951289585e-05	0.000359026391785	0.00230017987492	1.87948286029e-05	2.20198839552e-05	0.000149366581485	0.0015151595929	8.59381140776e-05	2.05010949997e-05	7.3895777703e-05	0.000251796722926	0.000347684034464	0.000366446101013	0.00103330351008	6.84655300019e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.122475211872	0.19889804827	0.0981309267156	0.166862628505	0.257980656343	0.175365162234	0.231966246169	0.562341239071	0.401372240417	0.326915236911	0.105619443765	0.536636870838	0.31252693631	0.283304051074	0.373856584144	0.635942527596	0.105036404384	0.202270734159	0.121590794293	0.271998781566	0.0816618363753	0.318704917071	0.357682814997	0.282269929476	0.27318884143	0.433414633013	0.426734217925	0.337846852452	0.216302678444	0.0347489950972
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.04075505549e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.00412718000011	0.00315662252469	0.00208602499567	0.00413591813239	0.00509003491617	0.00156290267606	0.00645613925982	0.000624539235197	0.00344272330728	0.00158001594214	0.00189518327259	0.000357949887016	0.00208916192466	0.00354279186459	0.00367576044446	0.000491022578909	0.00505981914882	0.00392396177178	0.000610831929595	0.00106429439117	0.00285649113585	0.00208880903764	0.00151334922839	0.00167264816262	0.0035985704246	0.00127384984181	0.00417732141408	0.0066453878645	0.00546343629582	0.00199919347606
k__Bacteria;p__Chlorobi;c__OPB56;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93167037977e-05	0.0	1.21746032906e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20594676469e-06	0.0	0.0	0.0	0.0	1.31379975852e-06	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	0.0	0.0	0.0	9.98531659195e-07	0.0	0.0	3.88689901253e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20594676469e-06	0.0	0.0	0.0	0.0	0.0	0.0
