Taxon	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FN39	FN40	FN41	FN42	FN43	FN44	FN45	FN46	FN47	FN48	FN49	FN50	FN51	FN52	FN53	FN54	FN55	FN56	FN57	FN58	FN59	FN60
Unassigned;Other;Other	0.116898230909	0.0589541285376	0.0473170276636	0.0723166583539	0.0657054132763	0.0580456234568	0.0747800501021	0.0128364776751	0.0455271872102	0.0317280993361	0.0548851943904	0.031885536025	0.0257322415149	0.0594538316379	0.0312344014458	0.0264176651063	0.0849777559736	0.0294926588415	0.0570117632134	0.167727291077	0.137373255508	0.0462736777007	0.0182178321587	0.000577648500285	0.0555480718975	0.0329928038169	0.0223872727191	0.0158319672622	0.079227380638	0.0869929870758
k__Bacteria;Other;Other	6.85080195059e-06	0.0	1.10754849678e-05	4.99265829598e-07	0.0	0.0	0.0	0.0	0.0	6.08478539976e-06	4.29260084393e-06	0.0	0.0	0.0	1.91246641231e-06	0.0	0.0	2.9872465908e-05	0.0	0.0	0.0	2.34577839858e-05	1.04802578143e-06	1.20594676469e-06	1.53949536881e-06	9.29139198989e-07	0.0	7.47849185742e-07	0.0	6.84655300019e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0419371841406	0.0622822385671	0.0119708953294	0.0474322508751	0.104410516525	0.079876381049	0.0161967081852	0.0114002284247	0.045403944181	0.0104049830336	0.0383329255363	0.0232227488152	0.0181377239823	0.0127359752438	0.0713349971791	0.0155550099749	0.0372027161127	0.12656323681	0.133563100113	0.00669587971271	0.0921001288721	0.0879336357966	0.0109770220347	0.00254695956702	0.0201620010977	0.0271420142809	0.0506973174004	0.0156509877592	0.0591912774206	0.0344491160758
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	6.16572175554e-05	0.000130060748003	4.04681181516e-05	0.00016176212879	0.00052094715817	3.94882325067e-05	6.02469346943e-05	0.000315134476476	0.000256587946024	0.000170373991193	0.000261848651479	0.00014997900294	4.86984131622e-06	0.000755554591531	0.000898859213785	8.12951289585e-05	0.000359026391785	0.00230017987492	1.87948286029e-05	2.20198839552e-05	0.000149366581485	0.0015151595929	8.59381140776e-05	2.05010949997e-05	7.3895777703e-05	0.000251796722926	0.000347684034464	0.000366446101013	0.00103330351008	6.84655300019e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.122475211872	0.19889804827	0.0981309267156	0.166862628505	0.257980656343	0.175365162234	0.231966246169	0.562341239071	0.401372240417	0.326915236911	0.105619443765	0.536636870838	0.31252693631	0.283304051074	0.373856584144	0.635942527596	0.105036404384	0.202270734159	0.121590794293	0.271998781566	0.0816618363753	0.318704917071	0.357682814997	0.282269929476	0.27318884143	0.433414633013	0.426734217925	0.337846852452	0.216302678444	0.0347489950972
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.04075505549e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.00412718000011	0.00315662252469	0.00208602499567	0.00413591813239	0.00509003491617	0.00156290267606	0.00645613925982	0.000624539235197	0.00344272330728	0.00158001594214	0.00189518327259	0.000357949887016	0.00208916192466	0.00354279186459	0.00367576044446	0.000491022578909	0.00505981914882	0.00392396177178	0.000610831929595	0.00106429439117	0.00285649113585	0.00208880903764	0.00151334922839	0.00167264816262	0.0035985704246	0.00127384984181	0.00417732141408	0.0066453878645	0.00546343629582	0.00199919347606
k__Bacteria;p__Chlorobi;c__OPB56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93167037977e-05	0.0	1.21746032906e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20594676469e-06	0.0	0.0	0.0	0.0	1.31379975852e-06	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.0	0.0	0.0	9.98531659195e-07	0.0	0.0	3.88689901253e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20594676469e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	1.15607282916e-05	4.04633438233e-05	0.00209965636178	1.09838482511e-05	2.54120564961e-06	2.07832802667e-06	3.10951921003e-05	4.39278361148e-05	0.0	1.62260943994e-05	1.93167037977e-05	1.99972003919e-06	0.0	6.14565935695e-05	2.10371305354e-05	8.94246418543e-05	1.11498879436e-05	8.74836501593e-05	4.69870715073e-05	0.00100190471996	3.47364142989e-05	0.0035474566964	4.19210312574e-06	8.4416273528e-06	1.53949536881e-06	0.0	1.91737519006e-06	1.49569837148e-06	0.004200217828	6.16189770017e-06
k__Bacteria;p__Firmicutes;c__Bacilli	0.379250119782	0.508941676425	0.573253044587	0.438821213406	0.386997667173	0.267054759787	0.542842372641	0.33436722907	0.243407003033	0.454667334641	0.215844848235	0.165600815886	0.198019922521	0.355643884346	0.271801638984	0.201938726235	0.654692430341	0.373356747657	0.537962029748	0.41621067157	0.604561817502	0.407341220125	0.456626929022	0.224890982412	0.475119060723	0.123958318816	0.239761376266	0.170471474041	0.391581959427	0.534932825045
k__Bacteria;p__Firmicutes;c__Clostridia	0.109879156135	0.0498489127644	0.0736391956301	0.175423539685	0.157509008574	0.102962448769	0.0569974871198	0.0621712574439	0.116680842982	0.0928132599643	0.134422795428	0.175575419441	0.0849811658887	0.143987376093	0.161641661168	0.0880344951491	0.0133196561375	0.144013024395	0.0801693414057	0.074551987111	0.0448447108599	0.0840833604342	0.13288128488	0.10059284343	0.0560661120891	0.152583239258	0.153317154948	0.0991087133404	0.143945813643	0.087509217172
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00841706654655	0.0112757851454	0.00176185407026	0.0103442887234	0.000406592903937	0.00412132447688	0.00570791119991	0.000173801438541	0.0163549560871	0.00346021463066	0.00175782004559	0.0152618633391	0.00410040638826	0.0114779226225	0.00225097296729	0.00517199610434	0.00314203842251	0.0398114620652	0.00517092721938	0.000541322147232	0.00395531970817	0.0157423055803	0.00234757775041	0.00503965152962	0.00316982096439	0.0116291062145	0.0073755032311	0.00495225730798	0.00285882827455	0.000592226834517
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.041896507504	0.0123952709912	0.0112995505483	0.0322410894779	0.0127898880345	0.0300962681542	0.0433913971264	0.0128593965461	0.100439028037	0.0311966947446	0.0170480642516	0.0337832703422	0.0945747532817	0.0449392302742	0.047511403081	0.00224862326699	0.00822638732481	0.0182520766698	0.0524775108129	0.0469922673508	0.00369711236188	0.0159715521056	0.0120764010795	0.0766125920137	0.0372896568234	0.137934430647	0.0351691348611	0.114154691108	0.0523490082783	0.0699902573551
k__Bacteria;p__GN02;c__BD1-5	0.0	0.000178231395412	4.68578210176e-06	0.0	2.54120564961e-06	0.0	0.0	0.0	0.0	1.41978325994e-05	0.000105168720676	0.0	0.0	0.0	1.52997312985e-05	0.0	0.0	8.53499025944e-06	0.0	0.0	3.47364142989e-06	3.8385464704e-05	0.0	0.0	2.4631925901e-05	2.78741759697e-06	2.68432526608e-05	5.98279348593e-06	0.000208894161605	6.84655300019e-07
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	0.0	3.40784152855e-06	4.99265829598e-06	0.0	4.15665605334e-06	0.0	0.0	2.02037752774e-05	0.0	6.43890126589e-06	0.0	3.89587305298e-05	0.0	0.0	0.0	0.0	0.0	2.34935357536e-06	0.0	0.0	2.13252581689e-06	0.0	0.0	1.30857106349e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.144791699226	0.0753258864724	0.169703692439	0.0164597958702	0.00752705113414	0.268569860918	0.00799535126878	0.000355242500754	0.0195148265405	0.0395815290254	0.418932086762	0.00222168896355	0.191533293888	0.00167740349507	0.0128288246938	0.00112187277963	0.0544159131201	0.0118785726936	0.000892754358638	0.000242218723507	0.0174874688385	0.00178812289746	0.000947415306417	0.0302427329648	0.0614528063846	0.00277998448338	0.0103519086511	0.102595934094	0.0229474834823	0.127536219977
