Taxon	South.Africa	Vietnam
Unassigned;Other	0.044014399242	0.0698908514227
k__Bacteria;Other	1.675963743e-06	5.02098016562e-06
k__Bacteria;p__Actinobacteria	0.0328298152992	0.0481331242597
k__Bacteria;p__Bacteroidetes	0.299700066336	0.210494677008
k__Bacteria;p__Chlorobi	1.35673255386e-06	0.0
k__Bacteria;p__Chloroflexi	7.98077972856e-08	2.51049008281e-07
k__Bacteria;p__Cyanobacteria	0.000517154526411	0.000573082123654
k__Bacteria;p__Firmicutes	0.433386107569	0.559479849049
k__Bacteria;p__Fusobacteria	0.0661202013966	0.0222507874152
k__Bacteria;p__GN02	3.73500491297e-05	2.66739571299e-05
k__Bacteria;p__Proteobacteria	0.0885263202923	0.0769881324113
k__Bacteria;p__SR1	0.0245294851503	0.000823252460406
k__Bacteria;p__Spirochaetes	0.00271522087925	0.000937291472417
k__Bacteria;p__Synergistetes	0.000167915605489	0.000126905273686
k__Bacteria;p__TM7	0.00653530090413	0.00918851922759
k__Bacteria;p__Tenericutes	0.000917550245393	0.00108158188993
