Taxon	1	2	3	4	5	6
Unassigned;Other;Other;Other;Other	0.0743359270589	0.0472839342318	0.0383191056387	0.08878558885	0.0482484669797	0.0516368044715
k__Bacteria;Other;Other;Other;Other	4.90760352133e-06	1.03419924538e-06	9.77885765341e-07	7.41641305183e-06	4.52997864367e-06	1.86925480288e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other	0.0	0.0	0.0	0.0	0.0	3.39864509615e-07
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.0	0.0	2.41211822117e-05	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.00520308690544	0.00392823346703	0.00460323425938	0.00431847137132	0.00386927286964	0.00380801189798
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	2.28260628899e-07	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.00211403581455	0.000220629172348	0.00113173979242	0.0131805552245	0.00128399728	4.33327249759e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	0.0	6.89466163586e-07	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	2.28260628899e-07	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0325178950627	0.0373573451416	0.0235781296501	0.0545291769636	0.0319908769586	0.0369643437947
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	0.000106141192438	7.79096764852e-05	3.61817733176e-05	6.40989985194e-05	0.000142945992756	3.09276703749e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	4.33695194908e-05	0.000274752266189	0.000235344507525	0.000216665209871	0.00130194941759	5.13195409518e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	9.50705519365e-05	0.000217526574611	0.000370618705064	0.000666947430875	0.000338238405394	0.000444712710831
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.000113673793192	0.000283715326316	0.00150040272595	0.000394129379326	0.000512390917695	0.000310466229533
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BS11	0.0	0.0	4.43308213621e-05	0.0	2.23143392447e-05	0.000234336579379
