Taxon	Control	TB
Unassigned;Other	0.054035761314	0.0630366924778
k__Bacteria;Other	3.62426442243e-06	3.4713590562e-06
k__Bacteria;p__Actinobacteria	0.0433993816029	0.0393602526129
k__Bacteria;p__Bacteroidetes	0.281846498602	0.217155116404
k__Bacteria;p__Chlorobi	2.09092178217e-07	9.918168732e-07
k__Bacteria;p__Chloroflexi	6.9697392739e-08	2.83376249486e-07
k__Bacteria;p__Cyanobacteria	0.000727989267159	0.000365980426211
k__Bacteria;p__Firmicutes	0.479727014828	0.528613456305
k__Bacteria;p__Fusobacteria	0.0516654923818	0.0312943018916
k__Bacteria;p__GN02	3.11547345543e-05	3.15964518176e-05
k__Bacteria;p__Proteobacteria	0.0580930556375	0.106436331839
k__Bacteria;p__SR1	0.0195072547668	0.00287548964759
k__Bacteria;p__Spirochaetes	0.00176208948323	0.00167716233258
k__Bacteria;p__Synergistetes	6.94186031681e-05	0.000221741915222
k__Bacteria;p__TM7	0.00773473785661	0.00831100033304
k__Bacteria;p__Tenericutes	0.00139624786874	0.000616130810444
