sample-id,absolute-filepath,direction
C1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P11-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P11-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P5-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P5-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P1-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P1-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P9-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P9-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P5-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P5-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P1-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P1-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P13-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P13-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P12-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P12-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P8-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P8-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P13-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P13-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P4-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P4-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P11-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P11-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P4-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P4-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P4-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P4-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P13-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P13-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P14-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P14-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P9-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P9-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P9-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P9-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P8-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P8-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P15-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P15-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C8,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C8_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P11-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P11-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P3-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P3-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P11-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P11-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P12-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P12-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P3-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P3-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P3-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P3-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P9-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P9-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P1-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P1-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P1-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P1-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P14-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P14-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P12-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P12-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P14-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P14-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P12-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P12-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P9-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P9-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P14-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P14-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P1-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P1-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P13-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P13-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P11-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P11-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P3-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P3-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P5-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P5-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P14-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P14-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
