bacteria	Phylum	avgExp_TB	avgExp_nonTB	logFC	AveExpr	t	P.Value	adj.P.Val	B
Prevotellaceae	Bacteroidetes	1.83098624037541	1.86773756866215	1.6211175929125	1.60825270257705	11.2422179446623	5.92376687910074e-13	1.23619951002519e-11	19.4161326453472
Streptococcaceae	Firmicutes	1.6211175929125	1.59538781224159	1.83098624037541	1.84936190451878	11.0449282409695	9.50922700019378e-13	1.23619951002519e-11	18.9406597008336
Veillonellaceae	Firmicutes	0.391724548760402	-0.450617417743786	1.16847917378871	0.803781399109762	9.72269975035855	2.58115902332329e-11	2.23700448688018e-10	15.6222778187679
Carnobacteriaceae	Firmicutes	0.425543346908875	0.873601180867183	1.05934052443564	0.802316079552344	7.9942943496648	2.71795671426058e-09	1.76667186426938e-08	10.9414064488882
Corynebacteriaceae	Actinobacteria	1.05934052443564	0.545291634669046	-1.17838119393727	-0.872580334898684	-7.20321931295929	2.58373029786704e-08	1.34353975489086e-07	8.68172954794215
Peptostreptococcaceae	Firmicutes	1.16847917378871	0.43908362443081	-1.04931963946808	-0.717404523244963	-6.71441504148341	1.07215633213081e-07	4.64601077256686e-07	7.25649130158766
Porphyromonadaceae	Bacteroidetes	0.673006246954632	0.883345775813222	0.673006246954632	0.778176011383927	5.41847533386332	5.02248793971346e-06	1.865495520465e-05	3.42124804954572
Spirochaetaceae	Spirochaetes	0.25895428582341	-0.125487046535503	-0.935762321103838	-0.192216839028596	-5.05140973698824	1.50084341142481e-05	4.87774108713065e-05	2.33692978075853
Mogibacteriaceae	Firmicutes	0.434234603024868	0.320240957278128	-0.729945330139023	-0.581610869745689	-4.77540821623723	3.40572851352814e-05	9.54540489470547e-05	1.52820846430466
Leptotrichiaceae	Fusobacteria	0.61862244721899	0.181114285188443	0.61862244721899	0.399868366203717	4.75003088554627	3.67130957488672e-05	9.54540489470547e-05	1.45424501032265
Tissierellaceae	Firmicutes	-0.935762321103838	0.551328643046646	-0.672125728348804	-0.432274401895236	-4.54920937682855	6.63783469697119e-05	0.000156894274655683	0.87183604146408
Methylophilaceae	Proteobacteria	0.144143578922481	0.331848618091695	-1.93055328025835	-1.73914432750832	-4.33880196810914	0.000143299762829741	0.00031048281946444	0.18001009344738
Aerococcaceae	Firmicutes	0.367103216548313	0.430385282901096	-0.937607888338589	-0.845978480915148	-4.0458973758711	0.000298394023880426	0.000596788047760852	-0.556526232128831
Erysipelotrichaceae	Firmicutes	-0.0734294914723986	0.0719955801676624	-0.489758982193468	-0.571055514692025	-3.88800451231913	0.000449821006881104	0.000835381869922051	-0.995805672155361
Flavobacteriaceae	Bacteroidetes	0.311776850787609	-1.62349954837007	-0.649829948607102	-0.785692493527007	-3.78385074052171	0.000603789956420502	0.00104656925779554	-1.28074095889138
Micrococcaceae	Actinobacteria	-0.299587336687256	0.213526627175329	0.434234603024868	0.377237780151498	3.46016810276177	0.00148274380647845	0.00240945868552748	-2.14520253966074
Gemellaceae	Firmicutes	-0.937607888338589	-0.76045770065327	0.367103216548313	0.398744249724705	2.74276054516618	0.00967956010756909	0.0148040331056939	-3.91582328330809
Paraprevotellaceae	Bacteroidetes	-0.672125728348805	-0.192423075441668	0.425543346908875	0.649572263888029	2.65263626198778	0.0120829882518497	0.0174532052526718	-4.12081753726982
Campylobacteraceae	Proteobacteria	-1.04931963946808	-0.385489407021846	-0.693120743937664	-1.18910033475636	-2.52223189942677	0.0172522818977298	0.0236083857547882	-4.43042657261984
Coriobacteriaceae	Actinobacteria	-0.729945330139024	-0.433276409352354	-0.46658936008016	-1.09418780218728	-2.44993912004363	0.019633813899845	0.0245240516873287	-4.5651339805528
Pasteurellaceae	Proteobacteria	-0.649829948607102	-0.921555038446911	-0.299587336687256	-0.0430303547559636	-2.44617733220846	0.019807887901304	0.0245240516873287	-4.57315107636682
Neisseriaceae	Proteobacteria	-0.489758982193469	-0.652352047190582	0.391724548760402	-0.0294464344916918	1.71677390532508	0.0951879300872562	0.112494826466757	-5.94866540648553
Fusobacteriaceae	Fusobacteria	-1.17838119393727	-0.566779475860102	0.25895428582341	0.0667336196439536	1.45237383693528	0.155633544942054	0.174412259991975	-6.34840534541794
Lachnospiraceae	Firmicutes	-0.46658936008016	-1.72178624429439	0.311776850787609	-0.655861348791231	1.43321983929281	0.160995932300285	0.174412259991975	-6.37510159614959
Actinomycetaceae	Actinobacteria	-0.693120743937664	-1.86543614041821	0.144143578922481	0.237996098507088	1.32739364860023	0.193289660719747	0.201021247148537	-6.51690148184999
Unnanotated	Planctomycetes	-1.93055328025836	-1.53301160916213	-0.0734294914723986	-0.000716955652368098	-0.562589863952846	0.577433008680348	0.577433008680348	-7.23618641819525
