	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
FN33	0.0	0.324405062974	0.318292130709	0.331096549665	0.314637844014	0.267012068025	0.267492105409	0.314273866213	0.305045712708	0.286521775891	0.318461753953	0.365513026443	0.354473878589	0.314599809385	0.314211668142	0.336840402479	0.289522890766	0.343276517956	0.312057921367	0.348434526465	0.377602576884	0.294355973988	0.356368093899	0.294737558443	0.364549129425	0.335088287537	0.34242839314	0.381345800959	0.355062751971	0.361885763944
FN47	0.324405062974	0.0	0.344444951035	0.338750290655	0.311145031794	0.282821229739	0.30174470788	0.310764464664	0.32330286353	0.294875877003	0.354606238188	0.371480760689	0.4016245744	0.301223123985	0.344560771105	0.349793490256	0.306363365571	0.386435633704	0.368812909892	0.345333269523	0.362423696784	0.312426388532	0.351803914314	0.319301891972	0.363591051701	0.349431895219	0.374852251057	0.404712589261	0.353511742211	0.408183405163
FN46	0.318292130709	0.344444951035	0.0	0.302546341863	0.293475817495	0.283757247422	0.267112738876	0.276238604999	0.330596734243	0.276795962286	0.357266986559	0.30999115423	0.389373984394	0.281982832971	0.278970476693	0.27317056604	0.250430978675	0.32468173812	0.318198630831	0.29770060796	0.298186242988	0.302151539179	0.277392608096	0.306263178461	0.388055606159	0.299494412778	0.311339080751	0.267977408816	0.26845291104	0.427257523788
FN55	0.331096549665	0.338750290655	0.302546341863	0.0	0.272470014591	0.266382774041	0.273929189804	0.297047756767	0.316121351308	0.270431204189	0.358518923661	0.22513530756	0.416168273681	0.31069442302	0.357256994158	0.27887047476	0.267173003837	0.233209662927	0.272071996589	0.27232051942	0.198253816982	0.334485948722	0.262708896709	0.354025194444	0.428129345495	0.244019584505	0.305334580712	0.254834965946	0.225775145313	0.414616783898
FN57	0.314637844014	0.311145031794	0.293475817495	0.272470014591	0.0	0.234143546646	0.253296388888	0.256932467174	0.311515976972	0.259199680981	0.298381938671	0.297855845029	0.350288986589	0.230698257552	0.303623551267	0.272079339022	0.223359920596	0.318364353513	0.280380972462	0.291582414639	0.288806232058	0.254921715825	0.277020286573	0.290087929793	0.351842969765	0.22580285982	0.322561728599	0.307392768128	0.256665323645	0.393854654405
FN32	0.267012068025	0.282821229739	0.283757247422	0.266382774041	0.234143546646	0.0	0.254547519781	0.285473017403	0.322040171006	0.254503058892	0.308502655493	0.294865994514	0.365451026714	0.23545029012	0.314098399004	0.285643735113	0.256656403168	0.311815280199	0.269181073653	0.310530762915	0.314681088318	0.273098172114	0.267073810136	0.276289280465	0.365463597852	0.238652738522	0.320810703715	0.306186589609	0.270570001146	0.374337329896
FN31	0.267492105409	0.30174470788	0.267112738876	0.273929189804	0.253296388888	0.254547519781	0.0	0.271040135952	0.250825486601	0.264622227588	0.308018321492	0.30933926153	0.393361929795	0.294388956794	0.272240253419	0.26330481499	0.248438106142	0.291941493524	0.302584708817	0.30739479315	0.313906125035	0.281217503993	0.304427774874	0.289002023283	0.37018426578	0.287120351836	0.324503123517	0.328749720522	0.291021856151	0.405021357731
FN34	0.314273866213	0.310764464664	0.276238604999	0.297047756767	0.256932467174	0.285473017403	0.271040135952	0.0	0.287137265256	0.266459682619	0.313396035601	0.314979650683	0.411103016474	0.270438533781	0.302930478751	0.281966483207	0.248592696737	0.3201810926	0.341185675036	0.289017996545	0.309714991797	0.28851949134	0.281578687605	0.292241287745	0.358237313741	0.312200125993	0.337212586877	0.327705460563	0.303504308135	0.415605178231
FN36	0.305045712708	0.32330286353	0.330596734243	0.316121351308	0.311515976972	0.322040171006	0.250825486601	0.287137265256	0.0	0.319555380074	0.334963383538	0.351744115238	0.426736644833	0.315387910123	0.343158857067	0.31750126298	0.309026435278	0.330280430811	0.333209225329	0.305628754388	0.302944446752	0.325966678075	0.332603831513	0.352056045827	0.423154588138	0.334396699181	0.349417154402	0.374498344547	0.340025771783	0.421089836136
FN37	0.286521775891	0.294875877003	0.276795962286	0.270431204189	0.259199680981	0.254503058892	0.264622227588	0.266459682619	0.319555380074	0.0	0.332851748935	0.266225449305	0.394045926746	0.266997080038	0.299400534686	0.268235696472	0.249285056945	0.299755105397	0.292718590278	0.270506123539	0.292869604576	0.283101889598	0.270426577356	0.329103767931	0.383710302887	0.257136840025	0.326479468545	0.29838288167	0.291325927823	0.410381185346
FN39	0.318461753953	0.354606238188	0.357266986559	0.358518923661	0.298381938671	0.308502655493	0.308018321492	0.313396035601	0.334963383538	0.332851748935	0.0	0.396827683716	0.384803715513	0.34963186258	0.343271040815	0.362175274185	0.327911673122	0.389940299698	0.368976179205	0.384112699864	0.358377156502	0.320071455412	0.368087692929	0.324161240206	0.393750036156	0.340240571686	0.375907174166	0.412440868388	0.362013195103	0.429009808236
FN59	0.365513026443	0.371480760689	0.30999115423	0.22513530756	0.297855845029	0.294865994514	0.30933926153	0.314979650683	0.351744115238	0.266225449305	0.396827683716	0.0	0.436959064521	0.272271715978	0.373586508553	0.267954901191	0.27001540779	0.182478324113	0.286521285483	0.230678368501	0.259183316079	0.374470402708	0.193484340223	0.385868515253	0.446095640681	0.256264678885	0.315597059168	0.195657782048	0.239702224765	0.463010710808
FN35	0.354473878589	0.4016245744	0.389373984394	0.416168273681	0.350288986589	0.365451026714	0.393361929795	0.411103016474	0.426736644833	0.394045926746	0.384803715513	0.436959064521	0.0	0.367082895469	0.345471539267	0.404012580869	0.388721121984	0.440279842045	0.375999526004	0.392889661389	0.470403108155	0.334557353413	0.419613421214	0.312699069843	0.366027604001	0.408731587257	0.415613773314	0.448405200907	0.420225597103	0.410986492764
FN51	0.314599809385	0.301223123985	0.281982832971	0.31069442302	0.230698257552	0.23545029012	0.294388956794	0.270438533781	0.315387910123	0.266997080038	0.34963186258	0.272271715978	0.367082895469	0.0	0.327675710681	0.246559558421	0.255375554395	0.313467596117	0.263124401591	0.264283332986	0.345619881678	0.293992876798	0.264582964555	0.298329697432	0.360254028275	0.239768511128	0.362587244624	0.276390553036	0.282588502991	0.389714622153
