	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
FN33	0.0	0.193556138613	0.724036039658	0.296215250055	0.591186253577	0.210658021773	0.187439622123	0.281233229313	0.310956185193	0.242803923367	0.54470071817	0.331287329422	0.406917202336	0.198849732945	0.308949104581	0.372829538136	0.711030101801	0.343644154338	0.355235326215	0.404857256514	0.447771989459	0.602405471343	0.516970033951	0.24473357972	0.412883277113	0.690397316512	0.526640266827	0.416085354269	0.563889555111	0.154534991614
FN47	0.193556138613	0.0	0.718541182169	0.255377933492	0.600390382451	0.20972177892	0.279641795082	0.28335186832	0.399020112499	0.238823520561	0.561200066376	0.345687987823	0.432501228597	0.1562442553	0.334361807737	0.373107147039	0.743005700407	0.463925335414	0.39780367405	0.417423164182	0.548368227839	0.596472084246	0.532576791143	0.259861844712	0.463022604939	0.698112907698	0.598740028894	0.437634320685	0.582933996148	0.212102921726
FN46	0.724036039658	0.718541182169	0.0	0.591833214625	0.322411288239	0.606667390614	0.673046012569	0.621078562567	0.661730058219	0.556552883277	0.374669486931	0.571447633985	0.54204857507	0.739009594271	0.487737967061	0.594742307923	0.236817879338	0.709777845159	0.453560533628	0.502480147822	0.527166913579	0.182551880543	0.414531295125	0.683677573708	0.42955521679	0.366735540845	0.534411163898	0.437525218798	0.596469300559	0.783225216231
FN55	0.296215250055	0.255377933492	0.591833214625	0.0	0.458415610779	0.192301775566	0.262442240505	0.265014269098	0.34682522693	0.202397650325	0.416822705927	0.249851492501	0.325751577199	0.317986643677	0.230515192878	0.294267108921	0.587005557388	0.462851708605	0.257062664327	0.256113080831	0.343917874917	0.454375881163	0.383395979279	0.328247802924	0.341317283045	0.528008232591	0.44355610085	0.311599711649	0.377118066244	0.332102658711
FN57	0.591186253577	0.600390382451	0.322411288239	0.458415610779	0.0	0.453008372993	0.458924426958	0.381829598566	0.468330479602	0.420079989962	0.163251285952	0.329135629635	0.331082270186	0.593522159008	0.35896003733	0.412247105262	0.224225110898	0.519872364084	0.283111160391	0.323383480562	0.389039695386	0.274199490488	0.167183414135	0.502718843802	0.2643112612	0.192154254182	0.364553360465	0.276358348648	0.455681797751	0.606370163806
FN32	0.210658021773	0.20972177892	0.606667390614	0.192301775566	0.453008372993	0.0	0.210508581956	0.188828688585	0.324317773701	0.139222455923	0.414184145342	0.192922782188	0.272136229766	0.221116574328	0.214788522289	0.212617942208	0.595447925665	0.426141935611	0.258006404397	0.292755981083	0.410200813694	0.468267144778	0.373312707604	0.216871771398	0.315767330794	0.558742590886	0.454515824088	0.273259453793	0.464656613513	0.252403846394
FN31	0.187439622123	0.279641795082	0.673046012569	0.262442240505	0.458924426958	0.210508581956	0.0	0.185824680443	0.238001787738	0.287291215103	0.437004177158	0.192198247254	0.287825242761	0.30047108817	0.2756139778	0.285750694232	0.592358408849	0.279149673582	0.299353915693	0.323424876116	0.391819470057	0.577783231982	0.386054423782	0.218258335332	0.352621435248	0.579553850867	0.428418209314	0.320757532489	0.492052627276	0.211392080002
FN34	0.281233229313	0.28335186832	0.621078562567	0.265014269098	0.381829598566	0.188828688585	0.185824680443	0.0	0.335917006663	0.209581417281	0.378756168294	0.133828780907	0.225334461036	0.279319368637	0.241064370061	0.210087164955	0.502365272544	0.385348049294	0.25326799011	0.243159450083	0.464043907155	0.52494493342	0.311111256931	0.217494317076	0.298124543142	0.520517936007	0.436358041798	0.285515262939	0.529009838151	0.295559466982
FN36	0.310956185193	0.399020112499	0.661730058219	0.34682522693	0.468330479602	0.324317773701	0.238001787738	0.335917006663	0.0	0.414163481604	0.44295616499	0.322233986923	0.394871178357	0.420728351799	0.415403616542	0.368487593453	0.607968476903	0.216958195515	0.428668591816	0.414726152818	0.323889821709	0.585014918834	0.403277126303	0.384733310962	0.489412501131	0.583996855639	0.413185631464	0.418119310113	0.466242456355	0.355138260062
FN37	0.242803923367	0.238823520561	0.556552883277	0.202397650325	0.420079989962	0.139222455923	0.287291215103	0.209581417281	0.414163481604	0.0	0.37480723992	0.193467703284	0.266189016045	0.24502230063	0.136741642229	0.244594089384	0.544739067073	0.505439834237	0.231517725621	0.22623160345	0.409759492216	0.425079538695	0.347564791596	0.225076466936	0.275787420854	0.499391844534	0.4221137311	0.2637672772	0.474933813918	0.284682649131
FN39	0.54470071817	0.561200066376	0.374669486931	0.416822705927	0.163251285952	0.414184145342	0.437004177158	0.378756168294	0.44295616499	0.37480723992	0.0	0.296777751185	0.319057781909	0.549481431309	0.326888921741	0.381655973155	0.274412751694	0.504699573433	0.242369480654	0.294197586388	0.347952039648	0.312917781527	0.137199831035	0.465366539793	0.253923152772	0.221773769828	0.309657948358	0.252361663397	0.399603880726	0.539099489167
FN59	0.331287329422	0.345687987823	0.571447633985	0.249851492501	0.329135629635	0.192922782188	0.192198247254	0.133828780907	0.322233986923	0.193467703284	0.296777751185	0.0	0.174068887943	0.329621902804	0.191245300828	0.179519495317	0.467862019877	0.399275812551	0.213112685165	0.194984963153	0.38713528248	0.468640268402	0.226000040075	0.238499758738	0.249789941806	0.450451840189	0.359567218218	0.213565312467	0.463316370599	0.339971987375
FN35	0.406917202336	0.432501228597	0.54204857507	0.325751577199	0.331082270186	0.272136229766	0.287825242761	0.225334461036	0.394871178357	0.266189016045	0.319057781909	0.174068887943	0.0	0.370265849576	0.194135108992	0.238333425876	0.406964656404	0.465555202839	0.217170612024	0.250977592665	0.472889576584	0.437974060618	0.242428463485	0.27608533737	0.207496733102	0.472766914646	0.364371964199	0.151779014673	0.555520290587	0.450084499281
FN51	0.198849732945	0.1562442553	0.739009594271	0.317986643677	0.593522159008	0.221116574328	0.30047108817	0.279319368637	0.420728351799	0.24502230063	0.549481431309	0.329621902804	0.370265849576	0.0	0.334991833963	0.325034055917	0.724978751429	0.481266625228	0.399836412046	0.432997442353	0.602967312345	0.602614224958	0.505604569876	0.195222853418	0.439621571939	0.704904934208	0.605207347007	0.381427020868	0.630266007004	0.234009964728
FN50	0.308949104581	0.334361807737	0.487737967061	0.230515192878	0.35896003733	0.214788522289	0.2756139778	0.241064370061	0.415403616542	0.136741642229	0.326888921741	0.191245300828	0.194135108992	0.334991833963	0.0	0.277118806472	0.471967515768	0.505506377029	0.189625613371	0.200241048451	0.390242969094	0.379622398466	0.295450094279	0.247563888883	0.221742001428	0.43480832222	0.353911296676	0.189759831518	0.48040536512	0.359044630864
FN48	0.372829538136	0.373107147039	0.594742307923	0.294267108921	0.412247105262	0.212617942208	0.285750694232	0.210087164955	0.368487593453	0.244594089384	0.381655973155	0.179519495317	0.238333425876	0.325034055917	0.277118806472	0.0	0.55183020937	0.460020952901	0.306142412138	0.223419054392	0.455918358407	0.491455833998	0.310450795474	0.272336006444	0.330738850664	0.509055984692	0.456182882363	0.249956165854	0.498409828367	0.408534053172
FN42	0.711030101801	0.743005700407	0.236817879338	0.587005557388	0.224225110898	0.595447925665	0.592358408849	0.502365272544	0.607968476903	0.544739067073	0.274412751694	0.467862019877	0.406964656404	0.724978751429	0.471967515768	0.55183020937	0.0	0.61758864536	0.393894633482	0.458491056074	0.513440954324	0.235071928445	0.29438186682	0.623582657822	0.359644645197	0.296288862887	0.458934946914	0.389127712712	0.562240310154	0.739060046275
FN41	0.343644154338	0.463925335414	0.709777845159	0.462851708605	0.519872364084	0.426141935611	0.279149673582	0.385348049294	0.216958195515	0.505439834237	0.504699573433	0.399275812551	0.465555202839	0.481266625228	0.505506377029	0.460020952901	0.61758864536	0.0	0.495505407457	0.487685635505	0.406311699533	0.667880439476	0.479033330275	0.454876006292	0.538517186784	0.632828683808	0.458286778691	0.513433022383	0.539901277667	0.415621906972
