Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
59	49	FN50	0.0	FN46	0.0	None	None
72	34	FN53	0.0	31.622076	3.180117	-1.84905125536	1.0
22	45	FN39	0.0	28.15117675	2.96115168231	-0.631343404686	1.0
43	34	30.0475995	2.5911095	31.622076	3.180117	-0.383824710808	1.0
59	35	FN50	0.0	FN38	0.0	None	None
35	29	FN38	0.0	24.0311835	2.5640735	-0.298823227052	1.0
31	34	FN40	0.0	31.622076	3.180117	-0.123864490523	1.0
41	33	FN44	0.0	FN32	0.0	None	None
59	72	FN50	0.0	FN53	0.0	None	None
33	36	FN32	0.0	FN54	0.0	None	None
22	35	FN39	0.0	FN38	0.0	None	None
30	49	26.3389205	3.4119925	FN46	0.0	-0.339650647475	1.0
59	47	FN50	0.0	33.8886386667	3.00351188682	-2.29926335067	1.0
33	42	FN32	0.0	29.491358	2.315794	-0.338122752859	1.0
42	43	29.491358	2.315794	30.0475995	2.5911095	-0.160062038725	1.0
49	43	FN46	0.0	30.0475995	2.5911095	-0.379112251791	1.0
39	30	FN58	0.0	26.3389205	3.4119925	0.730328290599	1.0
59	29	FN50	0.0	24.0311835	2.5640735	0.0205100956134	1.0
29	61	24.0311835	2.5640735	FN36	0.0	-0.520443943579	1.0
49	60	FN46	0.0	FN60	0.0	None	None
49	31	FN46	0.0	FN40	0.0	None	None
42	60	29.491358	2.315794	FN60	0.0	1.83547874659	1.0
45	34	28.15117675	2.96115168231	31.622076	3.180117	-1.07790116597	1.0
41	34	FN44	0.0	31.622076	3.180117	-0.121477471008	1.0
39	61	FN58	0.0	FN36	0.0	None	None
34	50	31.622076	3.180117	30.137256	0.0	0.269569083999	1.0
33	29	FN32	0.0	24.0311835	2.5640735	0.924080598728	1.0
33	47	FN32	0.0	33.8886386667	3.00351188682	-1.35453099467	1.0
39	34	FN58	0.0	31.622076	3.180117	-0.175577376566	1.0
47	61	33.8886386667	3.00351188682	FN36	0.0	1.77655518301	1.0
30	60	26.3389205	3.4119925	FN60	0.0	0.712349171125	1.0
49	72	FN46	0.0	FN53	0.0	None	None
30	47	26.3389205	3.4119925	33.8886386667	3.00351188682	-2.01881609514	1.0
47	34	33.8886386667	3.00351188682	31.622076	3.180117	0.625369131168	1.0
39	45	FN58	0.0	28.15117675	2.96115168231	0.654959022158	1.0
31	42	FN40	0.0	29.491358	2.315794	0.36111460642	1.0
22	72	FN39	0.0	FN53	0.0	None	None
72	50	FN53	0.0	30.137256	0.0	None	None
39	50	FN58	0.0	30.137256	0.0	None	None
59	42	FN50	0.0	29.491358	2.315794	-1.33856630804	1.0
22	50	FN39	0.0	30.137256	0.0	None	None
61	50	FN36	0.0	30.137256	0.0	None	None
30	36	26.3389205	3.4119925	FN54	0.0	0.0649947741009	1.0
41	61	FN44	0.0	FN36	0.0	None	None
59	31	FN50	0.0	FN40	0.0	None	None
45	61	28.15117675	2.96115168231	FN36	0.0	0.473117185031	1.0
42	35	29.491358	2.315794	FN38	0.0	1.69213580097	1.0
29	34	24.0311835	2.5640735	31.622076	3.180117	-1.85821378995	1.0
47	31	33.8886386667	3.00351188682	FN40	0.0	0.694231716003	1.0
30	61	26.3389205	3.4119925	FN36	0.0	-0.000610770919526	1.0
39	42	FN58	0.0	29.491358	2.315794	0.290100937663	1.0
30	59	26.3389205	3.4119925	FN50	0.0	0.375083821411	1.0
30	42	26.3389205	3.4119925	29.491358	2.315794	-0.764475097278	1.0
22	60	FN39	0.0	FN60	0.0	None	None
49	47	FN46	0.0	33.8886386667	3.00351188682	-1.30484513912	1.0
39	35	FN58	0.0	FN38	0.0	None	None
42	29	29.491358	2.315794	24.0311835	2.5640735	1.58034573318	1.0
41	60	FN44	0.0	FN60	0.0	None	None
59	34	FN50	0.0	31.622076	3.180117	-1.36158966341	1.0
49	29	FN46	0.0	24.0311835	2.5640735	0.971601648695	1.0
59	60	FN50	0.0	FN60	0.0	None	None
61	72	FN36	0.0	FN53	0.0	None	None
41	22	FN44	0.0	FN39	0.0	None	None
45	72	28.15117675	2.96115168231	FN53	0.0	1.75626540445	1.0
22	34	FN39	0.0	31.622076	3.180117	-1.06831613941	1.0
39	59	FN58	0.0	FN50	0.0	None	None
35	34	FN38	0.0	31.622076	3.180117	-1.61906261497	1.0
45	43	28.15117675	2.96115168231	30.0475995	2.5911095	-0.628865108737	1.0
45	60	28.15117675	2.96115168231	FN60	0.0	1.57528771761	1.0
39	22	FN58	0.0	FN39	0.0	None	None
33	43	FN32	0.0	30.0475995	2.5911095	-0.426137460456	1.0
30	45	26.3389205	3.4119925	28.15117675	2.96115168231	-0.547863361299	1.0
47	50	33.8886386667	3.00351188682	30.137256	0.0	0.883175503338	1.0
49	42	FN46	0.0	29.491358	2.315794	-0.285506904942	1.0
39	33	FN58	0.0	FN32	0.0	None	None
31	50	FN40	0.0	30.137256	0.0	None	None
36	34	FN54	0.0	31.622076	3.180117	-1.02889073951	1.0
30	31	26.3389205	3.4119925	FN40	0.0	-0.77852682211	1.0
35	50	FN38	0.0	30.137256	0.0	None	None
42	61	29.491358	2.315794	FN36	0.0	0.785033855961	1.0
29	60	24.0311835	2.5640735	FN60	0.0	0.42828626055	1.0
45	35	28.15117675	2.96115168231	FN38	0.0	1.42488632851	1.0
41	35	FN44	0.0	FN38	0.0	None	None
39	49	FN58	0.0	FN46	0.0	None	None
47	29	33.8886386667	3.00351188682	24.0311835	2.5640735	2.94942367004	1.0
22	33	FN39	0.0	FN32	0.0	None	None
59	41	FN50	0.0	FN44	0.0	None	None
33	72	FN32	0.0	FN53	0.0	None	None
59	50	FN50	0.0	30.137256	0.0	None	None
41	45	FN44	0.0	28.15117675	2.96115168231	0.732908857774	1.0
39	36	FN58	0.0	FN54	0.0	None	None
30	34	26.3389205	3.4119925	31.622076	3.180117	-1.13270150402	1.0
45	50	28.15117675	2.96115168231	30.137256	0.0	-0.519531093625	1.0
49	33	FN46	0.0	FN32	0.0	None	None
43	72	30.0475995	2.5911095	FN53	0.0	1.91855068261	1.0
45	36	28.15117675	2.96115168231	FN54	0.0	0.574537326937	1.0
41	36	FN44	0.0	FN54	0.0	None	None
47	35	33.8886386667	3.00351188682	FN38	0.0	2.63314379633	1.0
60	34	FN60	0.0	31.622076	3.180117	-1.72344642645	1.0
31	43	FN40	0.0	30.0475995	2.5911095	0.198803199595	1.0
33	35	FN32	0.0	FN38	0.0	None	None
41	50	FN44	0.0	30.137256	0.0	None	None
22	42	FN39	0.0	29.491358	2.315794	-0.935834407316	1.0
33	60	FN32	0.0	FN60	0.0	None	None
60	50	FN60	0.0	30.137256	0.0	None	None
43	29	30.0475995	2.5911095	24.0311835	2.5640735	1.65045161295	1.0
60	61	FN60	0.0	FN36	0.0	None	None
42	34	29.491358	2.315794	31.622076	3.180117	-0.541621591547	1.0
49	34	FN46	0.0	31.622076	3.180117	-0.594740944528	1.0
43	61	30.0475995	2.5911095	FN36	0.0	0.825562514124	1.0
39	43	FN58	0.0	30.0475995	2.5911095	0.135335010378	1.0
33	31	FN32	0.0	FN40	0.0	None	None
31	72	FN40	0.0	FN53	0.0	None	None
22	29	FN39	0.0	24.0311835	2.5640735	0.384245425079	1.0
30	41	26.3389205	3.4119925	FN44	0.0	-0.780751622235	1.0
22	61	FN39	0.0	FN36	0.0	None	None
33	45	FN32	0.0	28.15117675	2.96115168231	-0.00419944083011	1.0
30	22	26.3389205	3.4119925	FN39	0.0	0.101740864386	1.0
30	50	26.3389205	3.4119925	30.137256	0.0	-0.642724162904	1.0
22	47	FN39	0.0	33.8886386667	3.00351188682	-1.91895817959	1.0
41	43	FN44	0.0	30.0475995	2.5911095	0.201732833151	1.0
43	36	30.0475995	2.5911095	FN54	0.0	0.9119523898	1.0
59	33	FN50	0.0	FN32	0.0	None	None
31	60	FN40	0.0	FN60	0.0	None	None
31	36	FN40	0.0	FN54	0.0	None	None
41	72	FN44	0.0	FN53	0.0	None	None
59	61	FN50	0.0	FN36	0.0	None	None
41	31	FN44	0.0	FN40	0.0	None	None
60	72	FN60	0.0	FN53	0.0	None	None
45	42	28.15117675	2.96115168231	29.491358	2.315794	-0.457333088331	1.0
59	45	FN50	0.0	28.15117675	2.96115168231	-1.05390648959	1.0
47	43	33.8886386667	3.00351188682	30.0475995	2.5911095	1.14530462479	1.0
22	49	FN39	0.0	FN46	0.0	None	None
31	61	FN40	0.0	FN36	0.0	None	None
42	50	29.491358	2.315794	30.137256	0.0	-0.161028737517	1.0
49	50	FN46	0.0	30.137256	0.0	None	None
59	36	FN50	0.0	FN54	0.0	None	None
30	33	26.3389205	3.4119925	FN32	0.0	-0.303939119706	1.0
31	35	FN40	0.0	FN38	0.0	None	None
33	34	FN32	0.0	31.622076	3.180117	-0.633056347676	1.0
30	72	26.3389205	3.4119925	FN53	0.0	0.829418025083	1.0
39	72	FN58	0.0	FN53	0.0	None	None
45	29	28.15117675	2.96115168231	24.0311835	2.5640735	1.37015737872	1.0
29	72	24.0311835	2.5640735	FN53	0.0	0.584068866504	1.0
33	50	FN32	0.0	30.137256	0.0	None	None
30	35	26.3389205	3.4119925	FN38	0.0	0.615059176079	1.0
47	72	33.8886386667	3.00351188682	FN53	0.0	2.93138370574	1.0
31	29	FN40	0.0	24.0311835	2.5640735	1.55561073279	1.0
30	29	26.3389205	3.4119925	24.0311835	2.5640735	0.540701816645	1.0
39	31	FN58	0.0	FN40	0.0	None	None
41	49	FN44	0.0	FN46	0.0	None	None
35	72	FN38	0.0	FN53	0.0	None	None
49	61	FN46	0.0	FN36	0.0	None	None
31	45	FN40	0.0	28.15117675	2.96115168231	0.729469521293	1.0
60	36	FN60	0.0	FN54	0.0	None	None
35	60	FN38	0.0	FN60	0.0	None	None
42	72	29.491358	2.315794	FN53	0.0	2.00796302269	1.0
