Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
3	6	30.6625225	2.53724536965	28.66819025	4.87076392178	0.756258041945	1.0
5	6	29.1469105	4.81483391265	28.66819025	4.87076392178	0.137129493026	1.0
5	4	29.1469105	4.81483391265	25.7671735	3.52390184664	1.0778793442	1.0
4	6	25.7671735	3.52390184664	28.66819025	4.87076392178	-0.835802024287	1.0
1	4	27.85574675	0.248266387408	25.7671735	3.52390184664	1.02402695998	1.0
1	6	27.85574675	0.248266387408	28.66819025	4.87076392178	-0.288531540841	1.0
1	3	27.85574675	0.248266387408	30.6625225	2.53724536965	-1.97259808271	1.0
3	2	30.6625225	2.53724536965	26.150984	3.40735556322	2.37464616641	0.585
1	2	27.85574675	0.248266387408	26.150984	3.40735556322	0.8934171858	1.0
1	5	27.85574675	0.248266387408	29.1469105	4.81483391265	-0.479281266209	1.0
2	6	26.150984	3.40735556322	28.66819025	4.87076392178	-0.859825229508	1.0
3	4	30.6625225	2.53724536965	25.7671735	3.52390184664	2.28276263412	0.975
2	5	26.150984	3.40735556322	29.1469105	4.81483391265	-1.13572217585	1.0
3	5	30.6625225	2.53724536965	29.1469105	4.81483391265	0.622699838672	1.0
2	4	26.150984	3.40735556322	25.7671735	3.52390184664	0.153953321672	1.0
