Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
59	49	FN50	0.0	FN46	0.0	None	None
72	34	FN53	0.0	615.710577811	56.6819126681	-1.95931506999	1.0
22	45	FN39	0.0	546.759868166	64.0538206078	-0.37025488158	1.0
43	34	608.771170314	43.1699826458	615.710577811	56.6819126681	-0.0973959207839	1.0
59	35	FN50	0.0	FN38	0.0	None	None
35	29	FN38	0.0	498.12239366	60.0023936598	-0.708994616956	1.0
31	34	FN40	0.0	615.710577811	56.6819126681	-0.327649486317	1.0
41	33	FN44	0.0	FN32	0.0	None	None
59	72	FN50	0.0	FN53	0.0	None	None
33	36	FN32	0.0	FN54	0.0	None	None
22	35	FN39	0.0	FN38	0.0	None	None
30	49	495.636316462	77.8658377254	FN46	0.0	-0.0495295377783	1.0
59	47	FN50	0.0	656.32124796	48.9013295311	-3.05279311587	1.0
33	42	FN32	0.0	540.00377119	59.0299254787	0.416366785454	1.0
42	43	540.00377119	59.0299254787	608.771170314	43.1699826458	-0.940328526555	1.0
49	43	FN46	0.0	608.771170314	43.1699826458	-1.42371563777	1.0
39	30	FN58	0.0	495.636316462	77.8658377254	0.562642501911	1.0
59	29	FN50	0.0	498.12239366	60.0023936598	-0.509230772594	1.0
29	61	498.12239366	60.0023936598	FN36	0.0	0.197483626276	1.0
49	60	FN46	0.0	FN60	0.0	None	None
49	31	FN46	0.0	FN40	0.0	None	None
42	60	540.00377119	59.0299254787	FN60	0.0	1.23498626287	1.0
45	34	546.759868166	64.0538206078	615.710577811	56.6819126681	-1.05369819837	1.0
41	34	FN44	0.0	615.710577811	56.6819126681	0.0178054509638	1.0
39	61	FN58	0.0	FN36	0.0	None	None
34	50	615.710577811	56.6819126681	548.112554211	0.0	0.688539523194	1.0
33	29	FN32	0.0	498.12239366	60.0023936598	0.812606330083	1.0
33	47	FN32	0.0	656.32124796	48.9013295311	-1.06637129875	1.0
39	34	FN58	0.0	615.710577811	56.6819126681	-0.450130847042	1.0
47	61	656.32124796	48.9013295311	FN36	0.0	2.58430775439	1.0
30	60	495.636316462	77.8658377254	FN60	0.0	0.607269972503	1.0
49	72	FN46	0.0	FN53	0.0	None	None
30	47	495.636316462	77.8658377254	656.32124796	48.9013295311	-2.19455023287	1.0
47	34	656.32124796	48.9013295311	615.710577811	56.6819126681	0.660734168163	1.0
39	45	FN58	0.0	546.759868166	64.0538206078	0.299404386896	1.0
31	42	FN40	0.0	540.00377119	59.0299254787	0.425844102111	1.0
22	72	FN39	0.0	FN53	0.0	None	None
72	50	FN53	0.0	548.112554211	0.0	None	None
39	50	FN58	0.0	548.112554211	0.0	None	None
59	42	FN50	0.0	540.00377119	59.0299254787	-0.927246467415	1.0
22	50	FN39	0.0	548.112554211	0.0	None	None
61	50	FN36	0.0	548.112554211	0.0	None	None
30	36	495.636316462	77.8658377254	FN54	0.0	0.021949209119	1.0
41	61	FN44	0.0	FN36	0.0	None	None
59	31	FN50	0.0	FN40	0.0	None	None
45	61	546.759868166	64.0538206078	FN36	0.0	0.836362057875	1.0
42	35	540.00377119	59.0299254787	FN38	0.0	1.13030125245	1.0
29	34	498.12239366	60.0023936598	615.710577811	56.6819126681	-1.42459186019	1.0
47	31	656.32124796	48.9013295311	FN40	0.0	1.05235986463	1.0
30	61	495.636316462	77.8658377254	FN36	0.0	0.13374482636	1.0
39	42	FN58	0.0	540.00377119	59.0299254787	0.308234639863	1.0
30	59	495.636316462	77.8658377254	FN50	0.0	0.373973090026	1.0
30	42	495.636316462	77.8658377254	540.00377119	59.0299254787	-0.454063857272	1.0
22	60	FN39	0.0	FN60	0.0	None	None
49	47	FN46	0.0	656.32124796	48.9013295311	-2.22689203892	1.0
39	35	FN58	0.0	FN38	0.0	None	None
42	29	540.00377119	59.0299254787	498.12239366	60.0023936598	0.497572726501	1.0
41	60	FN44	0.0	FN60	0.0	None	None
59	34	FN50	0.0	615.710577811	56.6819126681	-1.73679098711	1.0
49	29	FN46	0.0	498.12239366	60.0023936598	0.0403537503151	1.0
59	60	FN50	0.0	FN60	0.0	None	None
61	72	FN36	0.0	FN53	0.0	None	None
41	22	FN44	0.0	FN39	0.0	None	None
45	72	546.759868166	64.0538206078	FN53	0.0	1.49234789582	1.0
22	34	FN39	0.0	615.710577811	56.6819126681	-1.01418158803	1.0
39	59	FN58	0.0	FN50	0.0	None	None
35	34	FN38	0.0	615.710577811	56.6819126681	-1.94825718972	1.0
45	43	546.759868166	64.0538206078	608.771170314	43.1699826458	-1.00914307931	1.0
45	60	546.759868166	64.0538206078	FN60	0.0	1.60865349672	1.0
39	22	FN58	0.0	FN39	0.0	None	None
33	43	FN32	0.0	608.771170314	43.1699826458	-0.350353999513	1.0
30	45	495.636316462	77.8658377254	546.759868166	64.0538206078	-0.698892780978	1.0
47	50	656.32124796	48.9013295311	548.112554211	0.0	1.56468345272	1.0
49	42	FN46	0.0	540.00377119	59.0299254787	-0.368608003525	1.0
39	33	FN58	0.0	FN32	0.0	None	None
31	50	FN40	0.0	548.112554211	0.0	None	None
36	34	FN54	0.0	615.710577811	56.6819126681	-1.25320401737	1.0
30	31	495.636316462	77.8658377254	FN40	0.0	-0.65180198436	1.0
35	50	FN38	0.0	548.112554211	0.0	None	None
42	61	540.00377119	59.0299254787	FN36	0.0	0.610363550081	1.0
29	60	498.12239366	60.0023936598	FN60	0.0	0.811982981044	1.0
45	35	546.759868166	64.0538206078	FN38	0.0	1.479219623	1.0
41	35	FN44	0.0	FN38	0.0	None	None
39	49	FN58	0.0	FN46	0.0	None	None
47	29	656.32124796	48.9013295311	498.12239366	60.0023936598	2.50355295484	1.0
22	33	FN39	0.0	FN32	0.0	None	None
59	41	FN50	0.0	FN44	0.0	None	None
33	72	FN32	0.0	FN53	0.0	None	None
59	50	FN50	0.0	548.112554211	0.0	None	None
41	45	FN44	0.0	546.759868166	64.0538206078	0.854953482475	1.0
39	36	FN58	0.0	FN54	0.0	None	None
30	34	495.636316462	77.8658377254	615.710577811	56.6819126681	-1.24672664517	1.0
45	50	546.759868166	64.0538206078	548.112554211	0.0	-0.016357901769	1.0
49	33	FN46	0.0	FN32	0.0	None	None
43	72	608.771170314	43.1699826458	FN53	0.0	2.47976140687	1.0
45	36	546.759868166	64.0538206078	FN54	0.0	0.654030034329	1.0
41	36	FN44	0.0	FN54	0.0	None	None
47	35	656.32124796	48.9013295311	FN38	0.0	3.35299293467	1.0
60	34	FN60	0.0	615.710577811	56.6819126681	-2.05727871128	1.0
31	43	FN40	0.0	608.771170314	43.1699826458	-0.337394872321	1.0
33	35	FN32	0.0	FN38	0.0	None	None
41	50	FN44	0.0	548.112554211	0.0	None	None
22	42	FN39	0.0	540.00377119	59.0299254787	-0.233380051021	1.0
33	60	FN32	0.0	FN60	0.0	None	None
60	50	FN60	0.0	548.112554211	0.0	None	None
43	29	608.771170314	43.1699826458	498.12239366	60.0023936598	1.49690372322	1.0
60	61	FN60	0.0	FN36	0.0	None	None
42	34	540.00377119	59.0299254787	615.710577811	56.6819126681	-0.925087341822	1.0
49	34	FN46	0.0	615.710577811	56.6819126681	-1.15501127396	1.0
43	61	608.771170314	43.1699826458	FN36	0.0	1.75428820284	1.0
39	43	FN58	0.0	608.771170314	43.1699826458	-0.498212120015	1.0
33	31	FN32	0.0	FN40	0.0	None	None
31	72	FN40	0.0	FN53	0.0	None	None
22	29	FN39	0.0	498.12239366	60.0023936598	0.173390042237	1.0
30	41	495.636316462	77.8658377254	FN44	0.0	-0.903273581632	1.0
22	61	FN39	0.0	FN36	0.0	None	None
33	45	FN32	0.0	546.759868166	64.0538206078	0.43310034222	1.0
30	22	495.636316462	77.8658377254	FN39	0.0	-0.152045560107	1.0
30	50	495.636316462	77.8658377254	548.112554211	0.0	-0.38909451019	1.0
22	47	FN39	0.0	656.32124796	48.9013295311	-2.02696862006	1.0
41	43	FN44	0.0	608.771170314	43.1699826458	0.116185263358	1.0
43	36	608.771170314	43.1699826458	FN54	0.0	1.5526420854	1.0
59	33	FN50	0.0	FN32	0.0	None	None
31	60	FN40	0.0	FN60	0.0	None	None
31	36	FN40	0.0	FN54	0.0	None	None
41	72	FN44	0.0	FN53	0.0	None	None
59	61	FN50	0.0	FN36	0.0	None	None
41	31	FN44	0.0	FN40	0.0	None	None
60	72	FN60	0.0	FN53	0.0	None	None
45	42	546.759868166	64.0538206078	540.00377119	59.0299254787	0.102039216686	1.0
59	45	FN50	0.0	546.759868166	64.0538206078	-1.22816011318	1.0
47	43	656.32124796	48.9013295311	608.771170314	43.1699826458	0.864098076619	1.0
22	49	FN39	0.0	FN46	0.0	None	None
31	61	FN40	0.0	FN36	0.0	None	None
42	50	540.00377119	59.0299254787	548.112554211	0.0	-0.0793090626857	1.0
49	50	FN46	0.0	548.112554211	0.0	None	None
59	36	FN50	0.0	FN54	0.0	None	None
30	33	495.636316462	77.8658377254	FN32	0.0	-0.64461725082	1.0
31	35	FN40	0.0	FN38	0.0	None	None
33	34	FN32	0.0	615.710577811	56.6819126681	-0.337519394894	1.0
30	72	495.636316462	77.8658377254	FN53	0.0	0.53595799895	1.0
39	72	FN58	0.0	FN53	0.0	None	None
45	29	546.759868166	64.0538206078	498.12239366	60.0023936598	0.73097527085	1.0
29	72	498.12239366	60.0023936598	FN53	0.0	0.719440563619	1.0
33	50	FN32	0.0	548.112554211	0.0	None	None
30	35	495.636316462	77.8658377254	FN38	0.0	0.527908489408	1.0
47	72	656.32124796	48.9013295311	FN53	0.0	3.36869082688	1.0
31	29	FN40	0.0	498.12239366	60.0023936598	0.821930046386	1.0
30	29	495.636316462	77.8658377254	498.12239366	60.0023936598	-0.0252900782264	1.0
39	31	FN58	0.0	FN40	0.0	None	None
41	49	FN44	0.0	FN46	0.0	None	None
35	72	FN38	0.0	FN53	0.0	None	None
49	61	FN46	0.0	FN36	0.0	None	None
31	45	FN40	0.0	546.759868166	64.0538206078	0.444818216655	1.0
60	36	FN60	0.0	FN54	0.0	None	None
35	60	FN38	0.0	FN60	0.0	None	None
42	72	540.00377119	59.0299254787	FN53	0.0	1.14091928726	1.0
47	36	656.32124796	48.9013295311	FN54	0.0	2.36628757076	1.0
39	47	FN58	0.0	656.32124796	48.9013295311	-1.226235793	1.0
22	31	FN39	0.0	FN40	0.0	None	None
47	60	656.32124796	48.9013295311	FN60	0.0	3.50776112277	1.0
59	43	FN50	0.0	608.771170314	43.1699826458	-2.18758870122	1.0
39	29	FN58	0.0	498.12239366	60.0023936598	0.706226699093	1.0
47	45	656.32124796	48.9013295311	546.759868166	64.0538206078	2.08862631694	1.0
43	60	608.771170314	43.1699826458	FN60	0.0	2.60838704487	1.0
22	43	FN39	0.0	608.771170314	43.1699826458	-1.23880715577	1.0
41	47	FN44	0.0	656.32124796	48.9013295311	-0.561948118932	1.0
33	61	FN32	0.0	FN36	0.0	None	None
36	72	FN54	0.0	FN53	0.0	None	None
61	34	FN36	0.0	615.710577811	56.6819126681	-1.40678139295	1.0
43	50	608.771170314	43.1699826458	548.112554211	0.0	0.811241195607	1.0
49	35	FN46	0.0	FN38	0.0	None	None
