Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
3	6	513.65	57.1028531103	476.025	103.417439898	0.660276774364	1.0
5	6	489.616666667	86.517443649	476.025	103.417439898	0.201114164325	1.0
5	4	489.616666667	86.517443649	421.225	72.7913585187	1.16555715002	1.0
4	6	421.225	72.7913585187	476.025	103.417439898	-0.750526534637	1.0
1	4	492.5	17.6580010194	421.225	72.7913585187	1.64816788823	1.0
1	6	492.5	17.6580010194	476.025	103.417439898	0.271989489714	1.0
1	3	492.5	17.6580010194	513.65	57.1028531103	-0.64240348131	1.0
3	2	513.65	57.1028531103	438.016666667	75.3423390635	1.78894673732	1.0
1	2	492.5	17.6580010194	438.016666667	75.3423390635	1.27054441607	1.0
1	5	492.5	17.6580010194	489.616666667	86.517443649	0.0588055178629	1.0
2	6	438.016666667	75.3423390635	476.025	103.417439898	-0.600810126158	1.0
3	4	513.65	57.1028531103	421.225	72.7913585187	2.00599425689	1.0
2	5	438.016666667	75.3423390635	489.616666667	86.517443649	-1.00572237957	1.0
3	5	513.65	57.1028531103	489.616666667	86.517443649	0.518412560566	1.0
2	4	438.016666667	75.3423390635	421.225	72.7913585187	0.313015579052	1.0
