# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Age	All between Age	-0.930136904275	0.352818467752	1	0.361	1.000
All within Age	30 vs. 30	-0.782775800199	0.447784119115	1	0.441	1.000
All within Age	47 vs. 47	1.34745363466	0.197836272136	1	0.172	1.000
All within Age	45 vs. 45	-1.05822796069	0.303946990312	1	0.284	1.000
All within Age	42 vs. 42	0.99144427575	0.339564549319	1	0.317	1.000
All within Age	43 vs. 43	0.221701758962	0.827990684586	1	0.769	1.000
All within Age	29 vs. 29	-0.525744410084	0.607917834188	1	0.617	1.000
All within Age	34 vs. 34	0.365502145013	0.720614839747	1	0.711	1.000
All within Age	39 vs. 30	0.316612670562	0.756209218724	1	0.826	1.000
All within Age	39 vs. 59	-0.875422944509	0.397230449093	1	0.356	1.000
All within Age	39 vs. 41	1.08441754729	0.297881722016	1	0.150	1.000
All within Age	39 vs. 22	-1.07640207643	0.301318273095	1	0.224	1.000
All within Age	39 vs. 49	0.903193157326	0.382854499555	1	0.403	1.000
All within Age	39 vs. 33	0.968690125213	0.350377587748	1	0.372	1.000
All within Age	39 vs. 47	1.91509129446	0.0747472930433	1	0.080	1.000
All within Age	39 vs. 31	0.715986149149	0.486662729555	1	0.593	1.000
All within Age	39 vs. 45	-0.164419289668	0.87146028355	1	0.866	1.000
All within Age	39 vs. 42	1.4447460542	0.170537664369	1	0.194	1.000
All within Age	39 vs. 43	1.63816018326	0.123659292019	1	0.122	1.000
All within Age	39 vs. 35	-0.768247933425	0.456069474255	1	0.514	1.000
All within Age	39 vs. 29	-0.602537211286	0.556451089369	1	0.554	1.000
All within Age	39 vs. 60	-2.42749697403	0.030473665319	1	0.082	1.000
All within Age	39 vs. 61	-0.540852199269	0.59775528371	1	0.542	1.000
All within Age	39 vs. 36	-0.0327742624586	0.974352465135	1	0.975	1.000
All within Age	39 vs. 72	-2.63703128318	0.020511436935	1	0.014	1.000
All within Age	39 vs. 34	1.26399869673	0.226871375112	1	0.209	1.000
All within Age	39 vs. 50	1.08856339153	0.296115763859	1	0.145	1.000
All within Age	30 vs. 59	0.59934401757	0.558518669095	1	0.542	1.000
All within Age	30 vs. 41	0.039950054594	0.968697070815	1	0.968	1.000
All within Age	30 vs. 22	-0.708400020065	0.490324686391	1	0.501	1.000
All within Age	30 vs. 49	0.300886698928	0.767923115092	1	0.801	1.000
All within Age	30 vs. 33	1.54135583539	0.145525434189	1	0.168	1.000
All within Age	30 vs. 47	-0.219687083446	0.828586974662	1	0.813	1.000
All within Age	30 vs. 31	0.325497110019	0.749618596417	1	0.797	1.000
All within Age	30 vs. 45	-0.540079313252	0.595105722867	1	0.563	1.000
All within Age	30 vs. 42	1.16718936336	0.260235076401	1	0.262	1.000
All within Age	30 vs. 43	0.628666857497	0.53843922571	1	0.555	1.000
All within Age	30 vs. 35	0.255700411843	0.801900759727	1	0.781	1.000
All within Age	30 vs. 29	-0.300433651553	0.767714906875	1	0.741	1.000
All within Age	30 vs. 60	-2.64055019235	0.0193833883358	1	0.029	1.000
All within Age	30 vs. 61	-1.17728780913	0.258708186796	1	0.255	1.000
All within Age	30 vs. 36	-0.397294762242	0.697141200713	1	0.660	1.000
All within Age	30 vs. 72	-1.60184787135	0.13150522086	1	0.108	1.000
All within Age	30 vs. 34	0.274190606738	0.787446604696	1	0.806	1.000
All within Age	30 vs. 50	-0.902232409278	0.382193994259	1	0.403	1.000
All within Age	59 vs. 41	-0.827631509422	0.42281248598	1	0.400	1.000
All within Age	59 vs. 22	-1.15016478324	0.270794874655	1	0.145	1.000
All within Age	59 vs. 49	1.00997571772	0.330936645215	1	0.217	1.000
All within Age	59 vs. 33	-0.230284882826	0.8214545588	1	0.828	1.000
All within Age	59 vs. 47	-1.94929478854	0.0702117718792	1	0.066	1.000
All within Age	59 vs. 31	-0.695859456136	0.498768978099	1	0.488	1.000
All within Age	59 vs. 45	-1.47849101518	0.158692742585	1	0.166	1.000
All within Age	59 vs. 42	0.241331991953	0.812796563386	1	0.820	1.000
All within Age	59 vs. 43	-0.16730238567	0.869524666104	1	0.854	1.000
All within Age	59 vs. 35	0.399027271424	0.696350532173	1	0.695	1.000
