	FN44	FN45	FN46	FN47	FN40	FN41	FN42	FN43	FN48	FN49	FN31	FN33	FN32	FN35	FN34	FN37	FN36	FN39	FN38	FN57	FN56	FN55	FN54	FN53	FN52	FN51	FN50	FN59	FN58	FN60
FN44	0.0	0.224320172747	0.298975482246	0.328095025598	0.280257077637	0.273997384527	0.256634497418	0.30611881695	0.292597874278	0.351462205119	0.311243391473	0.376178780394	0.313983307729	0.384189447453	0.287972155136	0.286426976866	0.298813808524	0.372883391584	0.354749519244	0.283045931826	0.264103523526	0.28648803418	0.341672439595	0.424570638157	0.26708206937	0.265338476443	0.345661211303	0.242083081232	0.261242476451	0.439802936829
FN45	0.224320172747	0.0	0.289661019633	0.34916264004	0.28198381925	0.221946019059	0.228305498693	0.309573626564	0.260992850958	0.366708765793	0.304468604926	0.372209009612	0.282124609876	0.418163861347	0.273979546775	0.286952730734	0.318931268432	0.368807193483	0.354853756193	0.26292208956	0.253817215336	0.271393160934	0.341536609531	0.447526655294	0.237658047838	0.263161521421	0.359099557381	0.194705293357	0.244293597294	0.454475782162
FN46	0.298975482246	0.289661019633	0.0	0.329217559911	0.334689590443	0.32282692914	0.25714327719	0.298667587022	0.280460770971	0.291985248451	0.250304460845	0.344585933386	0.290504293659	0.377264855678	0.27378638789	0.298156654165	0.314443310903	0.353674185047	0.295716856805	0.286399285695	0.307510862926	0.296375937059	0.317146307618	0.383998158418	0.293845424273	0.280204699164	0.264529152099	0.304107604019	0.269243700934	0.416044693286
FN47	0.328095025598	0.34916264004	0.329217559911	0.0	0.367684716647	0.371386516428	0.304745130631	0.353025137767	0.341883362892	0.321128786564	0.296222028223	0.347232376362	0.294956155117	0.408786200012	0.302033567533	0.317075838467	0.313357359449	0.35331732723	0.316092033692	0.288723356862	0.3445075159	0.340391760665	0.362159670688	0.384889974259	0.407911603993	0.285207743969	0.365176748382	0.359307815747	0.345511273951	0.414868050839
FN40	0.280257077637	0.28198381925	0.334689590443	0.367684716647	0.0	0.29230929343	0.250800647128	0.349913485378	0.277269448128	0.354282804615	0.299896861877	0.321155770387	0.311493474324	0.378898597823	0.335101836739	0.299413488994	0.320695912443	0.369677090376	0.344584250816	0.279890294137	0.241159183411	0.278741751883	0.325094784163	0.407794561601	0.279164105004	0.276954741221	0.339843353237	0.276595493019	0.277509063546	0.426322522387
FN41	0.273997384527	0.221946019059	0.32282692914	0.371386516428	0.29230929343	0.0	0.277854702431	0.286261931233	0.28003758512	0.389451991009	0.29085437032	0.327862931831	0.306861499537	0.436424131191	0.320433089687	0.315435535718	0.321627590464	0.38146606874	0.37238847432	0.311652588177	0.273495626241	0.239665970121	0.320457309428	0.450437755801	0.231743423316	0.292983256591	0.375934518923	0.19811801584	0.2618767894	0.449133845745
FN42	0.256634497418	0.228305498693	0.25714327719	0.304745130631	0.250800647128	0.277854702431	0.0	0.284108330439	0.265347332407	0.286854429418	0.239580759587	0.315512766219	0.265266206143	0.393544624969	0.243601896337	0.264212011204	0.292656413191	0.324454098118	0.283106026681	0.226004131674	0.220788324879	0.267210109209	0.272174878797	0.369592273994	0.298335183945	0.252817058986	0.268895751824	0.247669689135	0.230657166886	0.406917774275
FN43	0.30611881695	0.309573626564	0.298667587022	0.353025137767	0.349913485378	0.286261931233	0.284108330439	0.0	0.329665937066	0.401269873545	0.334102283953	0.39215569386	0.331860456521	0.471380491303	0.305588030981	0.304711245768	0.324003750544	0.354583772547	0.350903986761	0.300935874012	0.281033610675	0.2161749391	0.318638425594	0.431526597396	0.315698389003	0.333107508546	0.389279414056	0.274292587369	0.261059433592	0.445467249519
FN48	0.292597874278	0.260992850958	0.280460770971	0.341883362892	0.277269448128	0.28003758512	0.265347332407	0.329665937066	0.0	0.342440298069	0.272538854389	0.323795101154	0.303345516286	0.405136969181	0.286144901641	0.290824047901	0.288784732745	0.359927705577	0.359003237563	0.277195714388	0.26948756375	0.27949147547	0.335174173459	0.40725741796	0.264214234321	0.24486458976	0.333697222288	0.258470176781	0.294068261327	0.424493450987
FN49	0.351462205119	0.366708765793	0.291985248451	0.321128786564	0.354282804615	0.389451991009	0.286854429418	0.401269873545	0.342440298069	0.0	0.279498730456	0.310501743495	0.261413977192	0.309314040451	0.280554550828	0.336397864476	0.34450788493	0.322998614618	0.260248254737	0.278155935101	0.343680790241	0.363816413548	0.322443708823	0.319629973679	0.415610857406	0.282693651041	0.241009415291	0.386098403668	0.365082397739	0.36671972692
FN31	0.311243391473	0.304468604926	0.250304460845	0.296222028223	0.299896861877	0.29085437032	0.239580759587	0.334102283953	0.272538854389	0.279498730456	0.0	0.278016711167	0.230629026667	0.385850343262	0.257523447794	0.267240646362	0.253207377371	0.321542460625	0.265613298081	0.259997413625	0.295211182158	0.299332176677	0.311211487165	0.354988709791	0.334274401534	0.26659408164	0.273461949179	0.306160266066	0.285012409447	0.389921355588
FN33	0.376178780394	0.372209009612	0.344585933386	0.347232376362	0.321155770387	0.327862931831	0.315512766219	0.39215569386	0.323795101154	0.310501743495	0.278016711167	0.0	0.264180635858	0.349677292851	0.336720265932	0.339771336693	0.337600533693	0.324986284524	0.304105527279	0.310512604206	0.34595100496	0.345356089688	0.336182828008	0.402321269411	0.389489934796	0.293871786733	0.353871761397	0.353328036969	0.35453186176	0.366414840351
FN32	0.313983307729	0.282124609876	0.290504293659	0.294956155117	0.311493474324	0.306861499537	0.265266206143	0.331860456521	0.303345516286	0.261413977192	0.230629026667	0.264180635858	0.0	0.368603689417	0.279372513636	0.274493203304	0.32234587644	0.31275219326	0.258484900111	0.220293421383	0.261045832764	0.285468683817	0.322357862414	0.38807092175	0.341128759958	0.240151100877	0.319287805083	0.3152017922	0.266351949205	0.374743060806
FN35	0.384189447453	0.418163861347	0.377264855678	0.408786200012	0.378898597823	0.436424131191	0.393544624969	0.471380491303	0.405136969181	0.309314040451	0.385850343262	0.349677292851	0.368603689417	0.0	0.408856328444	0.409406903813	0.401961975501	0.388248610755	0.341691119421	0.332332616566	0.419368935775	0.423160464298	0.403517249897	0.37715625049	0.449051386407	0.384619277106	0.364536269756	0.429340611952	0.407189692251	0.418985598051
FN34	0.287972155136	0.273979546775	0.27378638789	0.302033567533	0.335101836739	0.320433089687	0.243601896337	0.305588030981	0.286144901641	0.280554550828	0.257523447794	0.336720265932	0.279372513636	0.408856328444	0.0	0.288965770907	0.276130768789	0.318317797269	0.285146448476	0.245547541269	0.327797162386	0.305454388785	0.323906710831	0.386900354588	0.327361615213	0.265363868524	0.295497446783	0.310283322501	0.308603629266	0.408049679248
FN37	0.286426976866	0.286952730734	0.298156654165	0.317075838467	0.299413488994	0.315435535718	0.264212011204	0.304711245768	0.290824047901	0.336397864476	0.267240646362	0.339771336693	0.274493203304	0.409406903813	0.288965770907	0.0	0.338238186454	0.348366444852	0.295626529072	0.251295742204	0.267556945054	0.2897375524	0.334252560187	0.385627985556	0.315237290451	0.255744658078	0.331223558723	0.28889791345	0.28875878473	0.409377820912
FN36	0.298813808524	0.318931268432	0.314443310903	0.313357359449	0.320695912443	0.321627590464	0.292656413191	0.324003750544	0.288784732745	0.34450788493	0.253207377371	0.337600533693	0.32234587644	0.401961975501	0.276130768789	0.338238186454	0.0	0.341254052461	0.322905518379	0.323328351012	0.34689515486	0.317925212259	0.338397930259	0.40803879951	0.36980568548	0.300676213688	0.323393492695	0.33004756542	0.332999639436	0.420966134116
FN39	0.372883391584	0.368807193483	0.353674185047	0.35331732723	0.369677090376	0.38146606874	0.324454098118	0.354583772547	0.359927705577	0.322998614618	0.321542460625	0.324986284524	0.31275219326	0.388248610755	0.318317797269	0.348366444852	0.341254052461	0.0	0.321863903689	0.301759522989	0.339387762229	0.348184259037	0.366579678929	0.398668339377	0.407298224698	0.331872943294	0.359901353745	0.389264765829	0.356644661995	0.433819721789
FN38	0.354749519244	0.354853756193	0.295716856805	0.316092033692	0.344584250816	0.37238847432	0.283106026681	0.350903986761	0.359003237563	0.260248254737	0.265613298081	0.304105527279	0.258484900111	0.341691119421	0.285146448476	0.295626529072	0.322905518379	0.321863903689	0.0	0.234600487203	0.341042417228	0.365887745372	0.313965710086	0.358597795649	0.412043786485	0.284446684428	0.291503091243	0.3690701681	0.343039371482	0.371716073042
FN57	0.283045931826	0.26292208956	0.286399285695	0.288723356862	0.279890294137	0.311652588177	0.226004131674	0.300935874012	0.277195714388	0.278155935101	0.259997413625	0.310512604206	0.220293421383	0.332332616566	0.245547541269	0.251295742204	0.323328351012	0.301759522989	0.234600487203	0.0	0.26310862053	0.264400561427	0.313885209061	0.365767758969	0.332808468963	0.227596868363	0.301353651822	0.28836623383	0.25659315289	0.374843622237
FN56	0.264103523526	0.253817215336	0.307510862926	0.3445075159	0.241159183411	0.273495626241	0.220788324879	0.281033610675	0.26948756375	0.343680790241	0.295211182158	0.34595100496	0.261045832764	0.419368935775	0.327797162386	0.267556945054	0.34689515486	0.339387762229	0.341042417228	0.26310862053	0.0	0.233846809107	0.320486533262	0.405654513748	0.251463678251	0.262146220053	0.336552691351	0.232302294265	0.229998043818	0.420560132251
FN55	0.28648803418	0.271393160934	0.296375937059	0.340391760665	0.278741751883	0.239665970121	0.267210109209	0.2161749391	0.27949147547	0.363816413548	0.299332176677	0.345356089688	0.285468683817	0.423160464298	0.305454388785	0.2897375524	0.317925212259	0.348184259037	0.365887745372	0.264400561427	0.233846809107	0.0	0.325516835163	0.441103642313	0.250239333643	0.276310981232	0.355897097882	0.213935064863	0.227991699101	0.418311488458
FN54	0.341672439595	0.341536609531	0.317146307618	0.362159670688	0.325094784163	0.320457309428	0.272174878797	0.318638425594	0.335174173459	0.322443708823	0.311211487165	0.336182828008	0.322357862414	0.403517249897	0.323906710831	0.334252560187	0.338397930259	0.366579678929	0.313965710086	0.313885209061	0.320486533262	0.325516835163	0.0	0.374235958904	0.366358021341	0.314565070175	0.309373236709	0.328342694353	0.31056752846	0.392462688558
FN53	0.424570638157	0.447526655294	0.383998158418	0.384889974259	0.407794561601	0.450437755801	0.369592273994	0.431526597396	0.40725741796	0.319629973679	0.354988709791	0.402321269411	0.38807092175	0.37715625049	0.386900354588	0.385627985556	0.40803879951	0.398668339377	0.358597795649	0.365767758969	0.405654513748	0.441103642313	0.374235958904	0.0	0.474379411419	0.378214847435	0.352028116559	0.447145123463	0.425547885343	0.402878139642
FN52	0.26708206937	0.237658047838	0.293845424273	0.407911603993	0.279164105004	0.231743423316	0.298335183945	0.315698389003	0.264214234321	0.415610857406	0.334274401534	0.389489934796	0.341128759958	0.449051386407	0.327361615213	0.315237290451	0.36980568548	0.407298224698	0.412043786485	0.332808468963	0.251463678251	0.250239333643	0.366358021341	0.474379411419	0.0	0.292199783762	0.390478314048	0.208538419666	0.251668445126	0.476951282724
FN51	0.265338476443	0.263161521421	0.280204699164	0.285207743969	0.276954741221	0.292983256591	0.252817058986	0.333107508546	0.24486458976	0.282693651041	0.26659408164	0.293871786733	0.240151100877	0.384619277106	0.265363868524	0.255744658078	0.300676213688	0.331872943294	0.284446684428	0.227596868363	0.262146220053	0.276310981232	0.314565070175	0.378214847435	0.292199783762	0.0	0.315732357594	0.282416521347	0.277613028371	0.376906564919
FN50	0.345661211303	0.359099557381	0.264529152099	0.365176748382	0.339843353237	0.375934518923	0.268895751824	0.389279414056	0.333697222288	0.241009415291	0.273461949179	0.353871761397	0.319287805083	0.364536269756	0.295497446783	0.331223558723	0.323393492695	0.359901353745	0.291503091243	0.301353651822	0.336552691351	0.355897097882	0.309373236709	0.352028116559	0.390478314048	0.315732357594	0.0	0.358787786339	0.347771247378	0.365031766556
FN59	0.242083081232	0.194705293357	0.304107604019	0.359307815747	0.276595493019	0.19811801584	0.247669689135	0.274292587369	0.258470176781	0.386098403668	0.306160266066	0.353328036969	0.3152017922	0.429340611952	0.310283322501	0.28889791345	0.33004756542	0.389264765829	0.3690701681	0.28836623383	0.232302294265	0.213935064863	0.328342694353	0.447145123463	0.208538419666	0.282416521347	0.358787786339	0.0	0.237561986458	0.451714333683
FN58	0.261242476451	0.244293597294	0.269243700934	0.345511273951	0.277509063546	0.2618767894	0.230657166886	0.261059433592	0.294068261327	0.365082397739	0.285012409447	0.35453186176	0.266351949205	0.407189692251	0.308603629266	0.28875878473	0.332999639436	0.356644661995	0.343039371482	0.25659315289	0.229998043818	0.227991699101	0.31056752846	0.425547885343	0.251668445126	0.277613028371	0.347771247378	0.237561986458	0.0	0.416296751736
FN60	0.439802936829	0.454475782162	0.416044693286	0.414868050839	0.426322522387	0.449133845745	0.406917774275	0.445467249519	0.424493450987	0.36671972692	0.389921355588	0.366414840351	0.374743060806	0.418985598051	0.408049679248	0.409377820912	0.420966134116	0.433819721789	0.371716073042	0.374843622237	0.420560132251	0.418311488458	0.392462688558	0.402878139642	0.476951282724	0.376906564919	0.365031766556	0.451714333683	0.416296751736	0.0
