# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Age	All between Age	-0.772538766985	0.440216863725	1	0.430	1.000
All within Age	30 vs. 30	-1.6200644818	0.129210968222	1	0.098	1.000
All within Age	47 vs. 47	1.54361599018	0.143513224235	1	0.133	1.000
All within Age	45 vs. 45	0.0885745989166	0.930398040442	1	0.911	1.000
All within Age	42 vs. 42	-1.28636540834	0.220753317396	1	0.153	1.000
All within Age	43 vs. 43	0.632333733219	0.538131853211	1	0.628	1.000
All within Age	29 vs. 29	0.179489858532	0.860320491082	1	0.967	1.000
All within Age	34 vs. 34	-0.815841651144	0.429286308488	1	0.561	1.000
All within Age	39 vs. 30	-1.0331236263	0.319063711661	1	0.334	1.000
All within Age	39 vs. 59	-0.809950963504	0.432544920967	1	0.605	1.000
All within Age	39 vs. 41	-0.369470857303	0.717725304546	1	0.840	1.000
All within Age	39 vs. 22	-0.273613431588	0.788680619746	1	0.912	1.000
All within Age	39 vs. 49	-1.58593837224	0.136768377112	1	0.118	1.000
All within Age	39 vs. 33	-0.710632499807	0.489865530153	1	0.644	1.000
All within Age	39 vs. 47	-1.42296954744	0.175209711539	1	0.181	1.000
All within Age	39 vs. 31	-0.705734095173	0.492807071173	1	0.701	1.000
All within Age	39 vs. 45	-2.2408111922	0.0395769939069	1	0.049	1.000
All within Age	39 vs. 42	-1.61925125281	0.127692931375	1	0.153	1.000
All within Age	39 vs. 43	-0.705935519964	0.491809257573	1	0.506	1.000
All within Age	39 vs. 35	-1.35196934974	0.199439002069	1	0.120	1.000
All within Age	39 vs. 29	-1.38384789783	0.188071569014	1	0.244	1.000
All within Age	39 vs. 60	-1.35066852304	0.199844733355	1	0.123	1.000
All within Age	39 vs. 61	-0.712501165938	0.488746167852	1	0.650	1.000
All within Age	39 vs. 36	-0.720176300241	0.484164841384	1	0.643	1.000
All within Age	39 vs. 72	-1.10711478612	0.288309623871	1	0.394	1.000
All within Age	39 vs. 34	-2.12532983096	0.0518415137404	1	0.025	1.000
All within Age	39 vs. 50	0.938172962603	0.365259767149	1	0.600	1.000
All within Age	30 vs. 59	0.164527057538	0.871668086248	1	0.908	1.000
All within Age	30 vs. 41	-0.111603402086	0.912722164884	1	0.929	1.000
All within Age	30 vs. 22	0.138543737433	0.891783786673	1	0.906	1.000
All within Age	30 vs. 49	-1.44737063736	0.169813524949	1	0.171	1.000
All within Age	30 vs. 33	-0.248708335343	0.807197778371	1	0.828	1.000
All within Age	30 vs. 47	0.160949647711	0.873925704731	1	0.858	1.000
All within Age	30 vs. 31	0.053126628936	0.958381656823	1	0.957	1.000
All within Age	30 vs. 45	-0.803136879495	0.431337425386	1	0.410	1.000
All within Age	30 vs. 42	-0.77836936034	0.447710047503	1	0.426	1.000
All within Age	30 vs. 43	-0.645848459648	0.527532502879	1	0.523	1.000
All within Age	30 vs. 35	-0.986186614435	0.340779622801	1	0.372	1.000
All within Age	30 vs. 29	-0.0264996638801	0.979186507046	1	0.984	1.000
All within Age	30 vs. 60	-0.867568798014	0.400257127861	1	0.467	1.000
All within Age	30 vs. 61	-1.14693989621	0.270630698405	1	0.329	1.000
All within Age	30 vs. 36	-1.06911193525	0.303106907736	1	0.342	1.000
All within Age	30 vs. 72	-0.0362648099808	0.971583225292	1	0.991	1.000
All within Age	30 vs. 34	-1.48702260308	0.156449410131	1	0.152	1.000
All within Age	30 vs. 50	-0.734320919579	0.474873344632	1	0.527	1.000
All within Age	59 vs. 41	1.05909348049	0.308839679865	1	0.448	1.000
All within Age	59 vs. 22	0.211180296713	0.836021045127	1	0.912	1.000
All within Age	59 vs. 49	-0.867100141257	0.401609095879	1	0.496	1.000
All within Age	59 vs. 33	0.955874998537	0.356574008889	1	0.446	1.000
All within Age	59 vs. 47	2.14250990663	0.0489646796072	1	0.025	1.000
All within Age	59 vs. 31	1.11947735002	0.283194435047	1	0.296	1.000
All within Age	59 vs. 45	0.854644730399	0.405363418455	1	0.419	1.000
All within Age	59 vs. 42	-0.146827039186	0.885361934882	1	0.863	1.000
All within Age	59 vs. 43	0.988629012833	0.339624248976	1	0.372	1.000
All within Age	59 vs. 35	-0.148091274204	0.884543094323	1	0.979	1.000
All within Age	59 vs. 29	0.7536148161	0.463567164953	1	0.540	1.000
All within Age	59 vs. 60	0.00277460081811	0.997828317491	1	0.978	1.000
All within Age	59 vs. 61	-0.376255701114	0.712795876116	1	0.851	1.000
All within Age	59 vs. 36	0.0232736149979	0.981785466667	1	0.975	1.000
All within Age	59 vs. 72	0.908133330425	0.380334873806	1	0.577	1.000
All within Age	59 vs. 34	-0.565121106806	0.580935025112	1	0.589	1.000
All within Age	59 vs. 50	-0.210649426191	0.836426740368	1	0.926	1.000
All within Age	41 vs. 22	0.424753256161	0.677962242807	1	0.851	1.000
All within Age	41 vs. 49	-0.967638935514	0.350882971374	1	0.498	1.000
All within Age	41 vs. 33	0.440105988284	0.667088949998	1	0.853	1.000
All within Age	41 vs. 47	1.62720413959	0.124512236216	1	0.119	1.000
All within Age	41 vs. 31	0.913562345815	0.377579097365	1	0.594	1.000
All within Age	41 vs. 45	0.40117588091	0.693597523529	1	0.736	1.000
All within Age	41 vs. 42	0.15786280104	0.876819216109	1	0.901	1.000
All within Age	41 vs. 43	0.655521948838	0.522758589514	1	0.570	1.000
All within Age	41 vs. 35	-0.291436601432	0.775315685634	1	0.910	1.000
All within Age	41 vs. 29	0.66943843246	0.514105362942	1	0.589	1.000
All within Age	41 vs. 60	-0.520257420463	0.611630010567	1	0.857	1.000
All within Age	41 vs. 61	-0.372548342531	0.715487756676	1	0.838	1.000
All within Age	41 vs. 36	0.0704532165666	0.94490521241	1	0.978	1.000
All within Age	41 vs. 72	0.686173674127	0.504658330672	1	0.584	1.000
All within Age	41 vs. 34	-0.953524855695	0.35649872982	1	0.424	1.000
All within Age	41 vs. 50	0.0882453425677	0.931026597992	1	0.981	1.000
All within Age	22 vs. 49	-0.11397615701	0.910998144375	1	0.973	1.000
All within Age	22 vs. 33	-0.371823890705	0.71601423887	1	0.853	1.000
All within Age	22 vs. 47	0.576738469644	0.572670274424	1	0.534	1.000
All within Age	22 vs. 31	0.779365503952	0.449720403391	1	0.577	1.000
All within Age	22 vs. 45	-0.527277631038	0.605235690727	1	0.606	1.000
All within Age	22 vs. 42	0.284905102485	0.779888006554	1	0.846	1.000
All within Age	22 vs. 43	-0.643200731854	0.530488725025	1	0.563	1.000
All within Age	22 vs. 35	0.299791330103	0.769076034971	1	0.907	1.000
All within Age	22 vs. 29	1.08526929611	0.296137329801	1	0.280	1.000
All within Age	22 vs. 60	-1.19546175764	0.253258917547	1	0.324	1.000
All within Age	22 vs. 61	-0.559947406844	0.58503530318	1	0.855	1.000
All within Age	22 vs. 36	0.335221629484	0.742805658008	1	0.839	1.000
All within Age	22 vs. 72	0.695833111949	0.498784940857	1	0.563	1.000
All within Age	22 vs. 34	-1.58806900588	0.134592581638	1	0.197	1.000
All within Age	22 vs. 50	0.0722804556982	0.943478945113	1	0.974	1.000
All within Age	49 vs. 33	-1.6610524725	0.12061557498	1	0.057	1.000
All within Age	49 vs. 47	-1.87536235797	0.0803450973781	1	0.091	1.000
All within Age	49 vs. 31	-0.633216705718	0.537572969171	1	0.714	1.000
All within Age	49 vs. 45	-3.18698538702	0.00573233408728	1	0.012	1.000
All within Age	49 vs. 42	-0.492825281365	0.629775488233	1	0.655	1.000
All within Age	49 vs. 43	-2.58454147623	0.0216177046763	1	0.019	1.000
All within Age	49 vs. 35	1.17299199669	0.261844319488	1	0.308	1.000
All within Age	49 vs. 29	-0.66777725116	0.515133918775	1	0.558	1.000
All within Age	49 vs. 60	-2.82456027012	0.0143392459225	1	0.040	1.000
All within Age	49 vs. 61	-2.02070043702	0.0644045609048	1	0.043	1.000
All within Age	49 vs. 36	-1.16415924143	0.265280191525	1	0.334	1.000
All within Age	49 vs. 72	-0.478718441117	0.640090275695	1	0.854	1.000
All within Age	49 vs. 34	-3.46361838618	0.00380033637876	1	0.007	1.000
All within Age	49 vs. 50	-1.12492484203	0.280962396244	1	0.392	1.000
All within Age	33 vs. 47	1.78942082024	0.0937532474904	1	0.080	1.000
All within Age	33 vs. 31	0.659326397644	0.521195147824	1	0.572	1.000
All within Age	33 vs. 45	1.46915015886	0.161179388528	1	0.159	1.000
All within Age	33 vs. 42	-0.386081836345	0.705239768385	1	0.767	1.000
All within Age	33 vs. 43	1.47425305072	0.162542837602	1	0.126	1.000
All within Age	33 vs. 35	-0.737906163945	0.473681945901	1	0.553	1.000
All within Age	33 vs. 29	-0.0486391642733	0.961893941419	1	0.951	1.000
All within Age	33 vs. 60	0.707918055366	0.491494274187	1	0.583	1.000
All within Age	33 vs. 61	0.21694905666	0.831615687058	1	0.923	1.000
All within Age	33 vs. 36	-0.655594669454	0.523518245211	1	0.704	1.000
All within Age	33 vs. 72	0.280198095633	0.783734654957	1	0.927	1.000
All within Age	33 vs. 34	0.319571728686	0.754011923362	1	0.798	1.000
All within Age	33 vs. 50	-0.353635346333	0.729281316187	1	0.897	1.000
All within Age	47 vs. 31	1.88381795519	0.0791231716007	1	0.049	1.000
All within Age	47 vs. 45	1.52121342332	0.141273407596	1	0.154	1.000
All within Age	47 vs. 42	0.177652110204	0.860980108795	1	0.857	1.000
All within Age	47 vs. 43	1.57012143021	0.133798717284	1	0.149	1.000
All within Age	47 vs. 35	-0.632547002673	0.536553437197	1	0.553	1.000
All within Age	47 vs. 29	1.34969583271	0.193844736409	1	0.194	1.000
All within Age	47 vs. 60	-0.0222088912084	0.982574070594	1	0.950	1.000
All within Age	47 vs. 61	-0.295161386917	0.771916770062	1	0.765	1.000
All within Age	47 vs. 36	-0.285049905021	0.779503959539	1	0.777	1.000
