	FN44	FN45	FN46	FN47	FN40	FN41	FN42	FN43	FN48	FN49	FN31	FN33	FN32	FN35	FN34	FN37	FN36	FN39	FN38	FN57	FN56	FN55	FN54	FN53	FN52	FN51	FN50	FN59	FN58	FN60
FN44	0.0	0.246571671834	0.504329725778	0.416335450149	0.221517830954	0.487984042016	0.459320051358	0.3455925208	0.223340573448	0.356728121312	0.322509605224	0.404312126583	0.292695270029	0.250560931072	0.243296456263	0.226131124077	0.414866306917	0.295003335256	0.402672308635	0.324799176116	0.384620928379	0.255945904517	0.348267314251	0.255702488247	0.233720180807	0.432066490722	0.199639291766	0.19620008297	0.414403650721	0.437072268941
FN45	0.246571671834	0.0	0.416193671585	0.531619859624	0.21199350295	0.479209860183	0.295504494224	0.390066052694	0.310022376663	0.411331533262	0.384925308274	0.516686338707	0.373029306861	0.24183490905	0.311455018983	0.347168581321	0.403457592182	0.137330554389	0.334843662004	0.169222959132	0.299987844143	0.383260670929	0.324775149677	0.198699322947	0.200375266954	0.504660815066	0.29475960253	0.226370986344	0.440321351515	0.533716657628
FN46	0.504329725778	0.416193671585	0.0	0.71927244342	0.454054093171	0.711210305046	0.237789004864	0.527975427964	0.595749414887	0.684757480649	0.67385939316	0.72534359634	0.608574602835	0.543022709637	0.623095999329	0.558263008457	0.662642566389	0.375993651204	0.182516267503	0.322142347108	0.366323477132	0.593904963483	0.533873762687	0.430827473355	0.43767313661	0.739932843914	0.489215145967	0.574355269698	0.597282264672	0.783491475449
FN47	0.416335450149	0.531619859624	0.71927244342	0.0	0.398463241562	0.463711457941	0.74274005489	0.54802846501	0.373046788501	0.259919270115	0.280945180502	0.192547824296	0.20844335063	0.432613560331	0.282295787748	0.237806416061	0.398530989215	0.560985931225	0.597292038835	0.601810031765	0.697385711309	0.254597677643	0.600068350986	0.463106905701	0.439295685439	0.157270088586	0.334199658691	0.344489583547	0.58249404809	0.212093008203
FN40	0.221517830954	0.21199350295	0.454054093171	0.398463241562	0.0	0.495445470708	0.392825245811	0.384570031918	0.30685866818	0.319354091036	0.300044101201	0.356889256672	0.259738594967	0.217181276702	0.254598193304	0.233000493273	0.428832332293	0.241692420193	0.338666107864	0.283113133459	0.387075741549	0.258704188161	0.319672059876	0.119905534111	0.138059483576	0.400842500648	0.190561434587	0.214887191764	0.464956052745	0.403449464034
FN41	0.487984042016	0.479209860183	0.711210305046	0.463711457941	0.495445470708	0.0	0.617580667117	0.406722820179	0.460213582465	0.455123214625	0.278278941639	0.343670111838	0.427702237938	0.465488360821	0.385053527651	0.504820409668	0.217374625274	0.50478861545	0.66862383379	0.520948513903	0.63283163369	0.462631422719	0.460763207179	0.538220026454	0.513438706221	0.481509159979	0.505427126125	0.398148992615	0.540062219489	0.414256151319
FN42	0.459320051358	0.295504494224	0.237789004864	0.74274005489	0.392825245811	0.617580667117	0.0	0.513669444492	0.552245724244	0.623814272529	0.592142953288	0.711449000468	0.596296667463	0.406492142033	0.502822224063	0.545749373212	0.608705089857	0.274772056344	0.235422435263	0.222757035328	0.29599146531	0.588240739237	0.45874387882	0.358894672286	0.3878653839	0.724884794848	0.47215077611	0.469210224084	0.562973198616	0.738746136275
FN43	0.3455925208	0.390066052694	0.527975427964	0.54802846501	0.384570031918	0.406722820179	0.513669444492	0.0	0.456277994913	0.53003205985	0.389665169016	0.447233913736	0.412023006551	0.47304663214	0.46410530436	0.4101924468	0.323798861464	0.347992614799	0.511391877112	0.390206329228	0.347702151486	0.344503477691	0.350003277418	0.46351949956	0.421750959407	0.603501862907	0.39052710422	0.388390918036	0.217817974253	0.481523370477
FN48	0.223340573448	0.310022376663	0.595749414887	0.373046788501	0.30685866818	0.460213582465	0.552245724244	0.456277994913	0.0	0.272517308787	0.286207157179	0.373223853637	0.213386708707	0.2392352097	0.211692615841	0.244555466235	0.368309545327	0.382033174906	0.492773445265	0.413933141769	0.508090965074	0.29508977955	0.458316505741	0.331704775434	0.250497622219	0.325316176222	0.277687782493	0.179898485721	0.498655189472	0.408317363804
FN49	0.356728121312	0.411331533262	0.684757480649	0.259919270115	0.319354091036	0.455123214625	0.623814272529	0.53003205985	0.272517308787	0.0	0.219035768486	0.245033747796	0.216686582485	0.276239353365	0.216767327465	0.223856549271	0.384793539925	0.465241797903	0.579591849769	0.503914517857	0.602412640567	0.329069371204	0.512886950477	0.35378854117	0.295847279792	0.195091688885	0.247366966741	0.237249984753	0.593678489406	0.2539570876
FN31	0.322509605224	0.384925308274	0.67385939316	0.280945180502	0.300044101201	0.278278941639	0.592142953288	0.389665169016	0.286207157179	0.219035768486	0.0	0.188170550806	0.212703964179	0.288652203174	0.186795630651	0.287468149316	0.237005007929	0.436116551279	0.578465069019	0.459925445346	0.578667273896	0.263796558699	0.429729035587	0.352501212384	0.321771412961	0.302001717957	0.27667622603	0.191640796922	0.491297505197	0.210879982288
FN33	0.404312126583	0.516686338707	0.72534359634	0.192547824296	0.356889256672	0.343670111838	0.711449000468	0.447233913736	0.373223853637	0.245033747796	0.188170550806	0.0	0.210311201762	0.407617465122	0.281343254497	0.240917885971	0.310699794467	0.544863990328	0.603119337101	0.593058460258	0.690222800434	0.295229201426	0.528711641212	0.414251850963	0.418503283263	0.199721065248	0.309360214884	0.331109520042	0.562455922763	0.153476754321
FN32	0.292695270029	0.373029306861	0.608574602835	0.20844335063	0.259738594967	0.427702237938	0.596296667463	0.412023006551	0.213386708707	0.216686582485	0.212703964179	0.210311201762	0.0	0.273210851965	0.190384623114	0.138637470713	0.326243745305	0.414757395874	0.46979266636	0.455104598922	0.55900605615	0.192962856163	0.457418302195	0.316735150592	0.275541341299	0.219782380144	0.215156724564	0.192673486026	0.465692458312	0.252433529353
FN35	0.250560931072	0.24183490905	0.543022709637	0.432613560331	0.217181276702	0.465488360821	0.406492142033	0.47304663214	0.2392352097	0.276239353365	0.288652203174	0.407617465122	0.273210851965	0.0	0.22591275116	0.26704640671	0.39520636107	0.318859986277	0.43886913754	0.331875203728	0.472662494498	0.326435262379	0.366532707934	0.206939739806	0.151962986222	0.370246614707	0.193957382126	0.1747873913	0.555821783367	0.449810836743
FN34	0.243296456263	0.311455018983	0.623095999329	0.282295787748	0.254598193304	0.385053527651	0.502822224063	0.46410530436	0.211692615841	0.216767327465	0.186795630651	0.281343254497	0.190384623114	0.22591275116	0.0	0.209152518157	0.336765044319	0.379046702379	0.526747546034	0.383262117129	0.520873899734	0.265766533948	0.439171557175	0.298816341655	0.287710285886	0.278824554095	0.241247297453	0.132897822034	0.529653789497	0.293810712325
FN37	0.226131124077	0.347168581321	0.558263008457	0.237806416061	0.233000493273	0.504820409668	0.545749373212	0.4101924468	0.244555466235	0.223856549271	0.287468149316	0.240917885971	0.138637470713	0.26704640671	0.209152518157	0.0	0.413555614438	0.375494640216	0.427261202346	0.421951986384	0.499492702394	0.203762083052	0.423890932572	0.276760655885	0.266271553464	0.244289165341	0.137588082101	0.194076229639	0.475609832306	0.283021777777
FN36	0.414866306917	0.403457592182	0.662642566389	0.398530989215	0.428832332293	0.217374625274	0.608705089857	0.323798861464	0.368309545327	0.384793539925	0.237005007929	0.310699794467	0.326243745305	0.39520636107	0.336765044319	0.413555614438	0.0	0.443039094695	0.585607227494	0.470504242924	0.584256010892	0.346497771693	0.415782187775	0.489306229816	0.417764720823	0.421196940871	0.415423655626	0.322232308253	0.465973385725	0.353680287563
