OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vietnam_mean	South Africa_mean	taxonomy
4383963	17.9832633988	2.22855758964e-05	0.0231101422046	0.0231101422046	243.6875	1686.92857143	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
257278	14.310483871	0.000154999231574	0.0472399956134	0.160734203142	2004.9375	11178.7857143	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
518865	13.9976958525	0.000183034795508	0.0472399956134	0.189807082942	118.375	552.142857143	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
4387092	13.3526394814	0.000258059158211	0.0472399956134	0.267607347065	6.5	30.7857142857	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
4322998	13.224357021	0.000276334502892	0.0472399956134	0.286558879499	2.3125	9.28571428571	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
3931	13.1772754631	0.000283364439239	0.0472399956134	0.293848923491	2.125	346.285714286	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
4452538	12.9560965464	0.00031888135901	0.0472399956134	0.330679969294	27.6875	146.928571429	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
4347875	12.4796133979	0.000411417333541	0.0508078539195	0.426639774882	1.1875	105.214285714	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
572237	12.3501318112	0.000440955337777	0.0508078539195	0.457270685275	47.125	388.714285714	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
72112	12.0565024692	0.000516120336782	0.0535216789243	0.535216789243	0.625	6.21428571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
4335928	11.7903095776	0.000595398332761	0.0561298246431	0.617428071074	3.4375	25.6428571429	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
32546	11.5096907666	0.000692342946799	0.0598299696525	0.71795963583	65.875	660.785714286	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
573034	11.1118206782	0.000857792424738	0.068425441881	0.889530744454	301.625	4026.14285714	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
3718254	10.9423501756	0.000939908715873	0.0696203813115	0.974685338361	0.3125	2.14285714286	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
4398594	10.6990339022	0.00107191494707	0.0741050533406	1.0	156.125	989.071428571	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor;s__
4335450	10.4024965878	0.00125845054069	0.0815633256683	1.0	123.5625	907.5	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__;s__
4462856	9.85835694051	0.00169062026791	0.103127836342	1.0	0.0	5.35714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
403701	9.72278514209	0.00181997509922	0.104850787661	1.0	39.625	659.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__
4428177	9.58671028578	0.00195990788089	0.106969709078	1.0	3.1875	8.5	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__segnis
4408085	9.22552055143	0.00238664829077	0.123747713876	1.0	54.3125	243.285714286	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__
4458755	8.88273045508	0.00287880679181	0.1421582211	1.0	1.3125	9.78571428571	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__
4294607	8.50748770675	0.00353688037247	0.161135569498	1.0	56.3125	762.428571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
2901965	8.4885504603	0.00357388437653	0.161135569498	1.0	1.75	18.3571428571	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor;s__
609982	8.15359583469	0.00429758623016	0.171407573872	1.0	0.0	10.8571428571	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Peptoniphilus;s__
3860	8.15359583469	0.00429758623016	0.171407573872	1.0	0.0	29.5	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__amylovorum
3769032	8.15359583469	0.00429758623016	0.171407573872	1.0	0.0	7.42857142857	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
1018482	7.94303205337	0.00482728845881	0.18540363451	1.0	5.9375	3.28571428571	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
1105876	7.85867222093	0.00505775211924	0.185621174218	1.0	4.0625	35.2142857143	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__
806182	7.80589164065	0.00520761638692	0.185621174218	1.0	0.5	11.3571428571	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__
559527	7.67089665653	0.00561185631806	0.185621174218	1.0	6.875	13.5714285714	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum
4405932	7.65064727171	0.0056751955176	0.185621174218	1.0	114.875	878.214285714	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
927991	7.57847419748	0.00590694189892	0.185621174218	1.0	1.0625	0.0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__subflava
1082539	7.57847419748	0.00590694189892	0.185621174218	1.0	0.8125	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
