Taxon	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FN39	FN40	FN41	FN42	FN43	FN44	FN45	FN46	FN47	FN48	FN49	FN50	FN51	FN52	FN53	FN54	FN55	FN56	FN57	FN58	FN59	FN60
Unassigned;Other;Other;Other;Other;Other	0.116898230909	0.0589541285376	0.0473170276636	0.0723166583539	0.0657054132763	0.0580456234568	0.0747800501021	0.0128364776751	0.0455271872102	0.0317280993361	0.0548851943904	0.031885536025	0.0257322415149	0.0594538316379	0.0312344014458	0.0264176651063	0.0849777559736	0.0294926588415	0.0570117632134	0.167727291077	0.137373255508	0.0462736777007	0.0182178321587	0.000577648500285	0.0555480718975	0.0329928038169	0.0223872727191	0.0158319672622	0.079227380638	0.0869929870758
k__Bacteria;Other;Other;Other;Other;Other	6.85080195059e-06	0.0	1.10754849678e-05	4.99265829598e-07	0.0	0.0	0.0	0.0	0.0	6.08478539976e-06	4.29260084393e-06	0.0	0.0	0.0	1.91246641231e-06	0.0	0.0	2.9872465908e-05	0.0	0.0	0.0	2.34577839858e-05	1.04802578143e-06	1.20594676469e-06	1.53949536881e-06	9.29139198989e-07	0.0	7.47849185742e-07	0.0	6.84655300019e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31379975852e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001479792829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;Other	0.000680370268718	0.000671017118403	9.71234835638e-05	0.000874713733455	0.0	0.000827174554614	8.7455227782e-05	9.54952959017e-06	0.000830375163903	7.09891629972e-05	0.00105597980761	7.59893614894e-05	0.000560031751365	0.000791705528924	0.00251298086577	8.12951289585e-06	4.9059506952e-05	0.000264584698043	3.75896572058e-05	3.6699806592e-06	0.00022347093199	0.000288957248189	3.03927476616e-05	1.08535208822e-05	0.000118541143399	0.000209056319773	3.77083787378e-05	9.42289974035e-05	0.00207448981871	4.10793180012e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	0.000107900130722	3.66096920306e-05	1.36313661142e-05	1.14831140807e-05	3.81180847441e-05	1.03916401333e-05	0.000137984914945	0.0	0.000175772844914	2.02826179992e-06	1.50241029537e-05	1.39980402744e-05	0.0	5.42264060907e-06	0.000466641804603	1.78849283709e-05	2.4529753476e-05	1.92037280837e-05	9.39741430145e-06	1.8349903296e-06	0.000153998103392	6.39757745067e-05	1.04802578143e-05	1.20594676469e-06	1.53949536881e-06	1.39370879848e-05	2.55650025341e-06	2.99139674297e-06	1.57655971023e-05	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.00367374254601	0.00934655071671	0.000415330686292	0.00563471415284	0.00955747444818	0.0070683936187	0.000965894404615	0.000867097286788	0.00377002446677	0.000695693797373	0.00344481217725	0.000383946247525	0.00205263811479	0.00584199148284	0.00781242529428	0.00223724194894	0.002412835751	0.00519140782531	0.00982029794502	0.000491777408333	0.00158629625298	0.00849491659158	0.00441952472031	0.000118182782939	0.00233387497912	0.00490213841387	0.00695559806447	0.00220690294712	0.00321158350971	0.000208819866506
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0.0	0.0	0.0	9.98531659195e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.00436652989326	0.00392879800265	5.02656625462e-05	2.54625573095e-05	0.000447252194331	0.000320062516107	1.16606970376e-05	0.0	0.00057378721788	4.05652359984e-05	7.51205147687e-05	9.99860019597e-06	0.00607269212133	1.08452812181e-05	0.00176520649856	1.46331232125e-05	2.22997758873e-05	0.0530022895111	2.81922429044e-05	3.48648162624e-05	0.000787358724108	0.000101294976302	5.97374695418e-05	3.61784029406e-06	0.00523120526323	2.04410623778e-05	1.15042511404e-05	9.64725449607e-05	6.83175874432e-05	2.73862120008e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05652359984e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
