Taxon	NA	No	Yes
Unassigned;Other	0.0332850661768	0.0731693538914	0.055896157926
k__Bacteria;Other	2.18997987846e-07	2.92191987278e-06	5.13581516465e-06
k__Bacteria;p__Actinobacteria	0.0511130353734	0.0382494894919	0.0405114567564
k__Bacteria;p__Bacteroidetes	0.388575794766	0.215389907806	0.229154496619
k__Bacteria;p__Chlorobi	0.0	1.55835726548e-06	7.33687880665e-08
k__Bacteria;p__Chloroflexi	0.0	1.94794658185e-07	2.20106364199e-07
k__Bacteria;p__Cyanobacteria	1.02929054288e-05	0.000635127983012	0.000663473950485
k__Bacteria;p__Firmicutes	0.38895728926	0.520982696196	0.529687726297
k__Bacteria;p__Fusobacteria	0.0649865579035	0.0409972629403	0.0341417986828
k__Bacteria;p__GN02	9.85490945309e-06	3.5842217106e-05	3.52170182719e-05
k__Bacteria;p__Proteobacteria	0.0398462458927	0.0942500318002	0.087035412326
k__Bacteria;p__SR1	0.0250165781477	0.00395822745432	0.0121500180414
k__Bacteria;p__Spirochaetes	0.00107549911831	0.00094017641773	0.00252329935918
k__Bacteria;p__Synergistetes	9.7016108616e-05	0.000129246255706	0.000172856864685
k__Bacteria;p__TM7	0.00637853539402	0.0109309022441	0.00637824222177
k__Bacteria;p__Tenericutes	0.000648015046038	0.000327060231093	0.00164441464693
