Taxon	1	2	3	4	5	6
Unassigned;Other;Other	0.0743359270589	0.0472839342318	0.0383191056387	0.08878558885	0.0482484669797	0.0516368044715
k__Bacteria;Other;Other	4.90760352133e-06	1.03419924538e-06	9.77885765341e-07	7.41641305183e-06	4.52997864367e-06	1.86925480288e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0399849850158	0.0418595591898	0.0296087511649	0.0723089677677	0.0385890425185	0.0408982754935
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	9.50705519365e-05	0.000217526574611	0.000370618705064	0.000666947430875	0.000338238405394	0.000444712710831
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.144206391435	0.330782078706	0.387656082792	0.181109866213	0.296320835234	0.254809167777
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	6.89466163586e-07	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.00335234972633	0.0030636428979	0.00198967157055	0.00262117227003	0.00223193725543	0.00453022398091
k__Bacteria;p__Chlorobi;c__OPB56	0.0	0.0	4.56346690492e-06	0.0	1.67776986802e-07	3.39864509615e-07
k__Bacteria;p__Chloroflexi;c__Anaerolineae	2.28260628899e-07	6.89466163586e-07	0.0	0.0	1.67776986802e-07	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.000577727651744	1.68919210079e-05	3.58558113958e-05	0.000324203199123	0.000565408445524	0.00108892588881
k__Bacteria;p__Firmicutes;c__Bacilli	0.475573601841	0.372247952716	0.237228567433	0.489677147648	0.382027192287	0.336552869833
k__Bacteria;p__Firmicutes;c__Clostridia	0.10092988815	0.0954617613447	0.131576159536	0.0785175649797	0.0947689987724	0.122241617157
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00775184508773	0.00516134370061	0.00679402433567	0.0119526091206	0.00691794849683	0.00397284618514
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0245019524273	0.0391851199413	0.037409345915	0.0318847489412	0.0486757949651	0.0662037372181
k__Bacteria;p__GN02;c__BD1-5	4.34836498053e-05	2.75786465434e-06	1.85798295415e-05	2.11897515766e-06	1.24154970234e-05	6.27050020239e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	2.05434566009e-06	4.13679698152e-06	6.19327651382e-06	5.29743789416e-07	3.18776274925e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.105671546194	0.0571084823298	0.0923404489734	0.0161471204452	0.0210709439955	0.0636559429218
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	1.03858586149e-05	1.03419924538e-05	5.67173743898e-05	6.88666926241e-06	1.96299074559e-05	2.07317350865e-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.000640385194376	0.000771167903971	0.0027582897821	0.000185410326296	0.00058034059735	0.001307798633
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.00979854401675	0.00407957128994	0.00507359731251	0.00398526252778	0.0406332373257	0.00663024678582
k__Bacteria;p__SR1;c__	0.0013451398861	0.000301641446569	0.00910639820877	4.07902717851e-05	0.0114735970195	0.0359258877856
k__Bacteria;p__Spirochaetes;Other	0.0	0.0	1.30384768712e-06	0.0	6.7110794721e-07	5.09796764422e-07
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.000470331025847	0.000471594855893	0.00612938797716	0.0028330697858	0.00168984981107	0.00156881457638
k__Bacteria;p__Synergistetes;c__Synergistia	0.000168342213813	0.000114451383155	0.000452109185509	7.62831056759e-05	6.34197010113e-05	6.9672224471e-05
k__Bacteria;p__TM7;c__TM7-3	0.0101127447724	0.00159335630405	0.0116414040745	0.0154340853046	0.00417647253247	0.00770115985561
k__Bacteria;p__Tenericutes;c__Mollicutes	0.000410298480446	0.000250965683545	0.00124354473159	0.00341472846658	0.00155680266054	0.000642853719936
k__Bacteria;p__Tenericutes;c__RF3	1.18695527028e-05	9.30779320841e-06	0.000178301171214	1.74815450507e-05	3.07031885849e-05	3.22871284134e-05
