Taxon	1	2	3	4	5	6
Unassigned;Other	0.0743359270589	0.0472839342318	0.0383191056387	0.08878558885	0.0482484669797	0.0516368044715
k__Bacteria;Other	4.90760352133e-06	1.03419924538e-06	9.77885765341e-07	7.41641305183e-06	4.52997864367e-06	1.86925480288e-06
k__Bacteria;p__Actinobacteria	0.0400800555678	0.0420770857644	0.02997936987	0.0729759151986	0.0389272809239	0.0413429882043
k__Bacteria;p__Bacteroidetes	0.147558741161	0.33384641107	0.389645754362	0.183731038483	0.29855277249	0.259339391758
k__Bacteria;p__Chlorobi	0.0	0.0	4.56346690492e-06	0.0	1.67776986802e-07	3.39864509615e-07
k__Bacteria;p__Chloroflexi	2.28260628899e-07	6.89466163586e-07	0.0	0.0	1.67776986802e-07	0.0
k__Bacteria;p__Cyanobacteria	0.000577727651744	1.68919210079e-05	3.58558113958e-05	0.000324203199123	0.000565408445524	0.00108892588881
k__Bacteria;p__Firmicutes	0.584255335079	0.472871057762	0.375598751305	0.580147321748	0.483714139557	0.462767333175
k__Bacteria;p__Fusobacteria	0.0245019524273	0.0391851199413	0.037409345915	0.0318847489412	0.0486757949651	0.0662037372181
k__Bacteria;p__GN02	4.34836498053e-05	2.75786465434e-06	1.85798295415e-05	2.11897515766e-06	1.24154970234e-05	6.27050020239e-05
k__Bacteria;p__Proteobacteria	0.11612291561	0.0619737003132	0.100235246719	0.0203252097123	0.0623073395888	0.0716147200757
k__Bacteria;p__SR1	0.0013451398861	0.000301641446569	0.00910639820877	4.07902717851e-05	0.0114735970195	0.0359258877856
k__Bacteria;p__Spirochaetes	0.000470331025847	0.000471594855893	0.00613069182484	0.0028330697858	0.00169052091902	0.00156932437315
k__Bacteria;p__Synergistetes	0.000168342213813	0.000114451383155	0.000452109185509	7.62831056759e-05	6.34197010113e-05	6.9672224471e-05
k__Bacteria;p__TM7	0.0101127447724	0.00159335630405	0.0116414040745	0.0154340853046	0.00417647253247	0.00770115985561
k__Bacteria;p__Tenericutes	0.000422168033149	0.000260273476754	0.00142184590281	0.00343221001163	0.00158750584913	0.000675140848349
