bacteria	Phylum	avgExp_TB	avgExp_nonTB	logFC	AveExpr	t	P.Value	adj.P.Val	B
Lachnospiraceae	Firmicutes	0.311776850787609	-1.62349954837007	1.93527639915768	-0.655861348791231	6.29067064497072	3.73878582661462e-07	9.720843149198e-06	6.42555135847408
Spirochaetaceae	Spirochaetes	-0.935762321103838	0.551328643046646	-1.48709096415048	-0.192216839028596	-5.67635541004343	2.32557746010125e-06	3.02325069813163e-05	4.63390687562707
Coriobacteriaceae	Actinobacteria	-0.46658936008016	-1.72178624429439	1.25519688421423	-1.09418780218728	4.66033692897082	4.78516736235499e-05	0.000414714504737433	1.68430008113139
Veillonellaceae	Firmicutes	1.16847917378871	0.43908362443081	0.729395549357904	0.803781399109762	4.29154834541933	0.000141008792792308	0.000916557153149999	0.638026165886663
Peptostreptococcaceae	Firmicutes	-1.04931963946808	-0.385489407021846	-0.663830232446234	-0.717404523244963	-3.00360218205872	0.00499900315490757	0.0240799604989377	-2.75563566743975
Pasteurellaceae	Proteobacteria	-0.299587336687256	0.213526627175329	-0.513113963862585	-0.0430303547559636	-2.96253384877467	0.00555691396129332	0.0240799604989377	-2.85397487859419
Campylobacteraceae	Proteobacteria	-0.693120743937664	-1.86543614041821	1.17231539648054	-1.18910033475636	2.77479085607672	0.00945233280182182	0.031435869013986	-3.2510038401708
Carnobacteriaceae	Firmicutes	1.05934052443564	0.545291634669046	0.514048889766596	0.802316079552344	2.74305159405372	0.00967257508122647	0.031435869013986	-3.36573070805443
Corynebacteriaceae	Actinobacteria	-1.17838119393727	-0.566779475860102	-0.611601718077163	-0.872580334898684	-2.64359263800335	0.0123524892548141	0.0348146590825248	-3.58950056949728
Neisseriaceae	Proteobacteria	0.391724548760402	-0.450617417743786	0.842341966504188	-0.0294464344916918	2.61039215138152	0.0133902534932788	0.0348146590825248	-3.6630024229931
Leptotrichiaceae	Fusobacteria	0.61862244721899	0.181114285188443	0.437508162030547	0.399868366203717	2.3754282688011	0.0233548485483995	0.0552023692962169	-4.16509740401593
Tissierellaceae	Firmicutes	-0.672125728348805	-0.192423075441668	-0.479702652907136	-0.432274401895236	-2.29584480908027	0.028025556630339	0.0607220393657344	-4.32759985787462
Paraprevotellaceae	Bacteroidetes	0.425543346908875	0.873601180867183	-0.448057833958308	0.649572263888029	-1.9749357636703	0.056503028681671	0.113006057363342	-4.94055139416431
Fusobacteriaceae	Fusobacteria	0.25895428582341	-0.125487046535503	0.384441332358913	0.0667336196439536	1.5246508127467	0.136664784548916	0.253806028447987	-5.67389013577238
Mogibacteriaceae	Firmicutes	-0.729945330139024	-0.433276409352354	-0.296668920786669	-0.581610869745689	-1.37238897881718	0.178996494892817	0.31026059114755	-5.88498879277836
Actinomycetaceae	Actinobacteria	0.144143578922481	0.331848618091695	-0.187705039169214	0.237996098507088	-1.22226497950766	0.230076670868662	0.366246035206884	-6.07361064062534
Porphyromonadaceae	Bacteroidetes	0.673006246954632	0.883345775813222	-0.210339528858589	0.778176011383927	-1.19746796600206	0.239468561481424	0.366246035206884	-6.1028536805553
Flavobacteriaceae	Bacteroidetes	-0.649829948607102	-0.921555038446911	0.271725089839809	-0.785692493527007	1.11879113671663	0.271130552975062	0.391633020963978	-6.19197989584484
Erysipelotrichaceae	Firmicutes	-0.489758982193469	-0.652352047190582	0.162593064997113	-0.571055514692025	0.912706977473753	0.367871827505912	0.503403553429143	-6.39852604020191
Unnanotated	Planctomycetes	-0.0734294914723986	0.0719955801676624	-0.145425071640061	-0.000716955652368098	-0.787853867636093	0.436281817269774	0.567166362450706	-6.50424383454919
Methylophilaceae	Proteobacteria	-1.93055328025836	-1.53301160916213	-0.397541671096225	-1.73914432750832	-0.619955460479737	0.539855315932917	0.63801082792072	-6.56983236624918
Micrococcaceae	Actinobacteria	0.434234603024868	0.320240957278128	0.11399364574674	0.377237780151498	0.642300730104615	0.525018029519928	0.63801082792072	-6.60853553992431
Aerococcaceae	Firmicutes	-0.937607888338589	-0.76045770065327	-0.177150187685318	-0.845978480915148	-0.549771038153655	0.586207080540276	0.662668873654225	-6.64667392168257
Gemellaceae	Firmicutes	0.367103216548313	0.430385282901096	-0.0632820663527832	0.398744249724705	-0.334322309004506	0.740205436818837	0.801889223220407	-6.76036994787954
Streptococcaceae	Firmicutes	1.83098624037541	1.86773756866215	-0.0367513282867347	1.84936190451878	-0.15676021856783	0.876367997628733	0.900345571494115	-6.80464294297344
Prevotellaceae	Bacteroidetes	1.6211175929125	1.59538781224159	0.025729780670908	1.60825270257705	0.126170716049471	0.900345571494115	0.900345571494115	-6.80904352416602
